Pattern: metacluster_0pattern_0, Total seqlets: 4631
Pattern: metacluster_0pattern_1, Total seqlets: 4405
Pattern: metacluster_0pattern_2, Total seqlets: 2348
Pattern: metacluster_0pattern_3, Total seqlets: 976
Pattern: metacluster_0pattern_4, Total seqlets: 816
Pattern: metacluster_0pattern_5, Total seqlets: 763
Pattern: metacluster_0pattern_6, Total seqlets: 516
Pattern: metacluster_0pattern_7, Total seqlets: 452
Pattern: metacluster_0pattern_8, Total seqlets: 418
Pattern: metacluster_0pattern_9, Total seqlets: 338
Pattern: metacluster_0pattern_10, Total seqlets: 311
Pattern: metacluster_0pattern_11, Total seqlets: 268
Pattern: metacluster_0pattern_12, Total seqlets: 239
Pattern: metacluster_0pattern_13, Total seqlets: 220
Pattern: metacluster_0pattern_14, Total seqlets: 220
Pattern: metacluster_0pattern_15, Total seqlets: 208
Pattern: metacluster_0pattern_16, Total seqlets: 160
Pattern: metacluster_0pattern_17, Total seqlets: 143
Pattern: metacluster_0pattern_18, Total seqlets: 93
Pattern: metacluster_0pattern_19, Total seqlets: 85
Pattern: metacluster_0pattern_20, Total seqlets: 39
Pattern: metacluster_1pattern_0, Total seqlets: 3366
Pattern: metacluster_1pattern_1, Total seqlets: 1478
Pattern: metacluster_1pattern_2, Total seqlets: 1300
Pattern: metacluster_1pattern_3, Total seqlets: 964
Pattern: metacluster_1pattern_4, Total seqlets: 772
Pattern: metacluster_1pattern_5, Total seqlets: 706
Pattern: metacluster_1pattern_6, Total seqlets: 688
Pattern: metacluster_1pattern_7, Total seqlets: 687
Pattern: metacluster_1pattern_8, Total seqlets: 653
Pattern: metacluster_1pattern_9, Total seqlets: 637
Pattern: metacluster_1pattern_10, Total seqlets: 578
Pattern: metacluster_1pattern_11, Total seqlets: 515
Pattern: metacluster_1pattern_12, Total seqlets: 506
Pattern: metacluster_1pattern_13, Total seqlets: 484
Pattern: metacluster_1pattern_14, Total seqlets: 456
Pattern: metacluster_1pattern_15, Total seqlets: 444
Pattern: metacluster_1pattern_16, Total seqlets: 435
Pattern: metacluster_1pattern_17, Total seqlets: 392
Pattern: metacluster_1pattern_18, Total seqlets: 339
Pattern: metacluster_1pattern_19, Total seqlets: 337
Pattern: metacluster_1pattern_20, Total seqlets: 336
Pattern: metacluster_1pattern_21, Total seqlets: 288
Pattern: metacluster_1pattern_22, Total seqlets: 249
Pattern: metacluster_1pattern_23, Total seqlets: 203
Pattern: metacluster_1pattern_24, Total seqlets: 136
Pattern: metacluster_1pattern_25, Total seqlets: 126
Pattern: metacluster_1pattern_26, Total seqlets: 60
Pattern: metacluster_2pattern_0, Total seqlets: 8766
Pattern: metacluster_2pattern_1, Total seqlets: 1703
Pattern: metacluster_2pattern_2, Total seqlets: 1211
Pattern: metacluster_2pattern_3, Total seqlets: 1090
Pattern: metacluster_2pattern_4, Total seqlets: 657
Pattern: metacluster_2pattern_5, Total seqlets: 576
Pattern: metacluster_2pattern_6, Total seqlets: 539
Pattern: metacluster_2pattern_7, Total seqlets: 461
Pattern: metacluster_2pattern_8, Total seqlets: 438
Pattern: metacluster_2pattern_9, Total seqlets: 401
Pattern: metacluster_2pattern_10, Total seqlets: 330
Pattern: metacluster_2pattern_11, Total seqlets: 313
Pattern: metacluster_2pattern_12, Total seqlets: 312
Pattern: metacluster_2pattern_13, Total seqlets: 309
Pattern: metacluster_2pattern_14, Total seqlets: 292
Pattern: metacluster_2pattern_15, Total seqlets: 273
Pattern: metacluster_2pattern_16, Total seqlets: 196
Pattern: metacluster_2pattern_17, Total seqlets: 153
Pattern: metacluster_2pattern_18, Total seqlets: 124
Pattern: metacluster_2pattern_19, Total seqlets: 78
Pattern: metacluster_2pattern_20, Total seqlets: 43
Pattern: metacluster_3pattern_0, Total seqlets: 3311
Pattern: metacluster_3pattern_1, Total seqlets: 649
Pattern: metacluster_3pattern_2, Total seqlets: 620
Pattern: metacluster_3pattern_3, Total seqlets: 542
Pattern: metacluster_3pattern_4, Total seqlets: 535
Pattern: metacluster_3pattern_5, Total seqlets: 495
Pattern: metacluster_3pattern_6, Total seqlets: 494
Pattern: metacluster_3pattern_7, Total seqlets: 486
Pattern: metacluster_3pattern_8, Total seqlets: 472
Pattern: metacluster_3pattern_9, Total seqlets: 459
Pattern: metacluster_3pattern_10, Total seqlets: 449
Pattern: metacluster_3pattern_11, Total seqlets: 445
Pattern: metacluster_3pattern_12, Total seqlets: 435
Pattern: metacluster_3pattern_13, Total seqlets: 410
Pattern: metacluster_3pattern_14, Total seqlets: 369
Pattern: metacluster_3pattern_15, Total seqlets: 344
Pattern: metacluster_3pattern_16, Total seqlets: 316
Pattern: metacluster_3pattern_17, Total seqlets: 288
Pattern: metacluster_3pattern_18, Total seqlets: 265
Pattern: metacluster_3pattern_19, Total seqlets: 258
Pattern: metacluster_3pattern_20, Total seqlets: 257
Pattern: metacluster_3pattern_21, Total seqlets: 236
Pattern: metacluster_3pattern_22, Total seqlets: 87
Pattern: metacluster_4pattern_0, Total seqlets: 2760
Pattern: metacluster_4pattern_1, Total seqlets: 720
Pattern: metacluster_4pattern_2, Total seqlets: 575
Pattern: metacluster_4pattern_3, Total seqlets: 519
Pattern: metacluster_4pattern_4, Total seqlets: 510
Pattern: metacluster_4pattern_5, Total seqlets: 477
Pattern: metacluster_4pattern_6, Total seqlets: 437
Pattern: metacluster_4pattern_7, Total seqlets: 391
Pattern: metacluster_4pattern_8, Total seqlets: 383
Pattern: metacluster_4pattern_9, Total seqlets: 377
Pattern: metacluster_4pattern_10, Total seqlets: 363
Pattern: metacluster_4pattern_11, Total seqlets: 337
Pattern: metacluster_4pattern_12, Total seqlets: 323
Pattern: metacluster_4pattern_13, Total seqlets: 300
Pattern: metacluster_4pattern_14, Total seqlets: 300
Pattern: metacluster_4pattern_15, Total seqlets: 285
Pattern: metacluster_4pattern_16, Total seqlets: 283
Pattern: metacluster_4pattern_17, Total seqlets: 245
Pattern: metacluster_4pattern_18, Total seqlets: 230
Pattern: metacluster_4pattern_19, Total seqlets: 204
Pattern: metacluster_4pattern_20, Total seqlets: 201
Pattern: metacluster_4pattern_21, Total seqlets: 198
Pattern: metacluster_4pattern_22, Total seqlets: 193
Pattern: metacluster_4pattern_23, Total seqlets: 184
Pattern: metacluster_4pattern_24, Total seqlets: 164
Pattern: metacluster_4pattern_25, Total seqlets: 145
Pattern: metacluster_4pattern_26, Total seqlets: 116
Pattern: metacluster_4pattern_27, Total seqlets: 106
Pattern: metacluster_4pattern_28, Total seqlets: 89
Pattern: metacluster_4pattern_29, Total seqlets: 74
Pattern: metacluster_4pattern_30, Total seqlets: 51
