Pattern: metacluster_0pattern_0, Total seqlets: 1995
Pattern: metacluster_0pattern_1, Total seqlets: 1862
Pattern: metacluster_0pattern_2, Total seqlets: 1516
Pattern: metacluster_0pattern_3, Total seqlets: 930
Pattern: metacluster_0pattern_4, Total seqlets: 878
Pattern: metacluster_0pattern_5, Total seqlets: 828
Pattern: metacluster_0pattern_6, Total seqlets: 769
Pattern: metacluster_0pattern_7, Total seqlets: 720
Pattern: metacluster_0pattern_8, Total seqlets: 696
Pattern: metacluster_0pattern_9, Total seqlets: 620
Pattern: metacluster_0pattern_10, Total seqlets: 611
Pattern: metacluster_0pattern_11, Total seqlets: 609
Pattern: metacluster_0pattern_12, Total seqlets: 588
Pattern: metacluster_0pattern_13, Total seqlets: 528
Pattern: metacluster_0pattern_14, Total seqlets: 502
Pattern: metacluster_0pattern_15, Total seqlets: 467
Pattern: metacluster_0pattern_16, Total seqlets: 443
Pattern: metacluster_0pattern_17, Total seqlets: 431
Pattern: metacluster_0pattern_18, Total seqlets: 419
Pattern: metacluster_0pattern_19, Total seqlets: 399
Pattern: metacluster_0pattern_20, Total seqlets: 357
Pattern: metacluster_0pattern_21, Total seqlets: 350
Pattern: metacluster_0pattern_22, Total seqlets: 325
Pattern: metacluster_0pattern_23, Total seqlets: 158
Pattern: metacluster_0pattern_24, Total seqlets: 152
Pattern: metacluster_0pattern_25, Total seqlets: 115
Pattern: metacluster_0pattern_26, Total seqlets: 104
Pattern: metacluster_0pattern_27, Total seqlets: 99
Pattern: metacluster_0pattern_28, Total seqlets: 87
Pattern: metacluster_0pattern_29, Total seqlets: 76
Pattern: metacluster_0pattern_30, Total seqlets: 74
Pattern: metacluster_0pattern_31, Total seqlets: 62
Pattern: metacluster_1pattern_0, Total seqlets: 6641
Pattern: metacluster_1pattern_1, Total seqlets: 3199
Pattern: metacluster_1pattern_2, Total seqlets: 1319
Pattern: metacluster_1pattern_3, Total seqlets: 1172
Pattern: metacluster_1pattern_4, Total seqlets: 718
Pattern: metacluster_1pattern_5, Total seqlets: 698
Pattern: metacluster_1pattern_6, Total seqlets: 649
Pattern: metacluster_1pattern_7, Total seqlets: 627
Pattern: metacluster_1pattern_8, Total seqlets: 542
Pattern: metacluster_1pattern_9, Total seqlets: 534
Pattern: metacluster_1pattern_10, Total seqlets: 384
Pattern: metacluster_1pattern_11, Total seqlets: 367
Pattern: metacluster_1pattern_12, Total seqlets: 315
Pattern: metacluster_1pattern_13, Total seqlets: 280
Pattern: metacluster_1pattern_14, Total seqlets: 232
Pattern: metacluster_1pattern_15, Total seqlets: 138
Pattern: metacluster_1pattern_16, Total seqlets: 121
Pattern: metacluster_1pattern_17, Total seqlets: 107
Pattern: metacluster_1pattern_18, Total seqlets: 101
Pattern: metacluster_1pattern_19, Total seqlets: 97
Pattern: metacluster_1pattern_20, Total seqlets: 42
Pattern: metacluster_2pattern_0, Total seqlets: 2790
Pattern: metacluster_2pattern_1, Total seqlets: 1483
Pattern: metacluster_2pattern_2, Total seqlets: 735
Pattern: metacluster_2pattern_3, Total seqlets: 704
Pattern: metacluster_2pattern_4, Total seqlets: 631
Pattern: metacluster_2pattern_5, Total seqlets: 540
Pattern: metacluster_2pattern_6, Total seqlets: 512
Pattern: metacluster_2pattern_7, Total seqlets: 507
Pattern: metacluster_2pattern_8, Total seqlets: 473
Pattern: metacluster_2pattern_9, Total seqlets: 464
Pattern: metacluster_2pattern_10, Total seqlets: 444
Pattern: metacluster_2pattern_11, Total seqlets: 420
Pattern: metacluster_2pattern_12, Total seqlets: 392
Pattern: metacluster_2pattern_13, Total seqlets: 363
Pattern: metacluster_2pattern_14, Total seqlets: 360
Pattern: metacluster_2pattern_15, Total seqlets: 343
Pattern: metacluster_2pattern_16, Total seqlets: 314
Pattern: metacluster_2pattern_17, Total seqlets: 310
Pattern: metacluster_2pattern_18, Total seqlets: 298
Pattern: metacluster_2pattern_19, Total seqlets: 279
Pattern: metacluster_2pattern_20, Total seqlets: 271
Pattern: metacluster_2pattern_21, Total seqlets: 260
Pattern: metacluster_2pattern_22, Total seqlets: 252
Pattern: metacluster_2pattern_23, Total seqlets: 252
