Pattern: metacluster_0pattern_0, Total seqlets: 2044
Pattern: metacluster_0pattern_1, Total seqlets: 1098
Pattern: metacluster_0pattern_2, Total seqlets: 806
Pattern: metacluster_0pattern_3, Total seqlets: 788
Pattern: metacluster_0pattern_4, Total seqlets: 672
Pattern: metacluster_0pattern_5, Total seqlets: 671
Pattern: metacluster_0pattern_6, Total seqlets: 651
Pattern: metacluster_0pattern_7, Total seqlets: 315
Pattern: metacluster_0pattern_8, Total seqlets: 280
Pattern: metacluster_0pattern_9, Total seqlets: 189
Pattern: metacluster_0pattern_10, Total seqlets: 111
Pattern: metacluster_0pattern_11, Total seqlets: 100
Pattern: metacluster_0pattern_12, Total seqlets: 87
Pattern: metacluster_0pattern_13, Total seqlets: 87
Pattern: metacluster_0pattern_14, Total seqlets: 72
Pattern: metacluster_0pattern_15, Total seqlets: 53
Pattern: metacluster_0pattern_16, Total seqlets: 46
Pattern: metacluster_0pattern_17, Total seqlets: 33
Pattern: metacluster_1pattern_0, Total seqlets: 737
Pattern: metacluster_1pattern_1, Total seqlets: 433
Pattern: metacluster_1pattern_2, Total seqlets: 359
Pattern: metacluster_1pattern_3, Total seqlets: 265
Pattern: metacluster_1pattern_4, Total seqlets: 242
Pattern: metacluster_1pattern_5, Total seqlets: 241
Pattern: metacluster_1pattern_6, Total seqlets: 225
Pattern: metacluster_1pattern_7, Total seqlets: 214
Pattern: metacluster_1pattern_8, Total seqlets: 210
Pattern: metacluster_1pattern_9, Total seqlets: 198
Pattern: metacluster_1pattern_10, Total seqlets: 192
Pattern: metacluster_1pattern_11, Total seqlets: 187
Pattern: metacluster_1pattern_12, Total seqlets: 183
Pattern: metacluster_1pattern_13, Total seqlets: 182
Pattern: metacluster_1pattern_14, Total seqlets: 179
Pattern: metacluster_1pattern_15, Total seqlets: 177
Pattern: metacluster_1pattern_16, Total seqlets: 167
Pattern: metacluster_1pattern_17, Total seqlets: 156
Pattern: metacluster_1pattern_18, Total seqlets: 146
Pattern: metacluster_1pattern_19, Total seqlets: 141
Pattern: metacluster_1pattern_20, Total seqlets: 137
Pattern: metacluster_1pattern_21, Total seqlets: 117
Pattern: metacluster_1pattern_22, Total seqlets: 110
Pattern: metacluster_1pattern_23, Total seqlets: 96
Pattern: metacluster_1pattern_24, Total seqlets: 90
Pattern: metacluster_1pattern_25, Total seqlets: 70
Pattern: metacluster_1pattern_26, Total seqlets: 68
Pattern: metacluster_1pattern_27, Total seqlets: 58
Pattern: metacluster_1pattern_28, Total seqlets: 52
Pattern: metacluster_2pattern_0, Total seqlets: 50
Pattern: metacluster_2pattern_1, Total seqlets: 45
Pattern: metacluster_2pattern_2, Total seqlets: 39
Pattern: metacluster_2pattern_3, Total seqlets: 39
Pattern: metacluster_2pattern_4, Total seqlets: 32
Pattern: metacluster_2pattern_5, Total seqlets: 30
Pattern: metacluster_3pattern_0, Total seqlets: 51
Pattern: metacluster_3pattern_1, Total seqlets: 48
Pattern: metacluster_3pattern_2, Total seqlets: 40
Pattern: metacluster_3pattern_3, Total seqlets: 40
Pattern: metacluster_3pattern_4, Total seqlets: 38
Pattern: metacluster_3pattern_5, Total seqlets: 34
Pattern: metacluster_3pattern_6, Total seqlets: 32
Pattern: metacluster_3pattern_7, Total seqlets: 30
