Pattern: metacluster_0pattern_0, Total seqlets: 2426
Pattern: metacluster_0pattern_1, Total seqlets: 1913
Pattern: metacluster_0pattern_2, Total seqlets: 1711
Pattern: metacluster_0pattern_3, Total seqlets: 928
Pattern: metacluster_0pattern_4, Total seqlets: 642
Pattern: metacluster_0pattern_5, Total seqlets: 633
Pattern: metacluster_0pattern_6, Total seqlets: 612
Pattern: metacluster_0pattern_7, Total seqlets: 602
Pattern: metacluster_0pattern_8, Total seqlets: 539
Pattern: metacluster_0pattern_9, Total seqlets: 533
Pattern: metacluster_0pattern_10, Total seqlets: 532
Pattern: metacluster_0pattern_11, Total seqlets: 513
Pattern: metacluster_0pattern_12, Total seqlets: 464
Pattern: metacluster_0pattern_13, Total seqlets: 450
Pattern: metacluster_0pattern_14, Total seqlets: 420
Pattern: metacluster_0pattern_15, Total seqlets: 413
Pattern: metacluster_0pattern_16, Total seqlets: 413
Pattern: metacluster_0pattern_17, Total seqlets: 387
Pattern: metacluster_0pattern_18, Total seqlets: 364
Pattern: metacluster_0pattern_19, Total seqlets: 357
Pattern: metacluster_0pattern_20, Total seqlets: 351
Pattern: metacluster_0pattern_21, Total seqlets: 321
Pattern: metacluster_0pattern_22, Total seqlets: 315
Pattern: metacluster_0pattern_23, Total seqlets: 299
Pattern: metacluster_0pattern_24, Total seqlets: 263
Pattern: metacluster_0pattern_25, Total seqlets: 251
Pattern: metacluster_0pattern_26, Total seqlets: 236
Pattern: metacluster_0pattern_27, Total seqlets: 170
Pattern: metacluster_0pattern_28, Total seqlets: 166
Pattern: metacluster_0pattern_29, Total seqlets: 121
Pattern: metacluster_0pattern_30, Total seqlets: 118
Pattern: metacluster_0pattern_31, Total seqlets: 115
Pattern: metacluster_0pattern_32, Total seqlets: 66
Pattern: metacluster_0pattern_33, Total seqlets: 55
Pattern: metacluster_0pattern_34, Total seqlets: 44
Pattern: metacluster_0pattern_35, Total seqlets: 39
Pattern: metacluster_0pattern_36, Total seqlets: 35
Pattern: metacluster_1pattern_0, Total seqlets: 7669
Pattern: metacluster_1pattern_1, Total seqlets: 3807
Pattern: metacluster_1pattern_2, Total seqlets: 2548
Pattern: metacluster_1pattern_3, Total seqlets: 687
Pattern: metacluster_1pattern_4, Total seqlets: 489
Pattern: metacluster_1pattern_5, Total seqlets: 462
Pattern: metacluster_1pattern_6, Total seqlets: 459
Pattern: metacluster_1pattern_7, Total seqlets: 434
Pattern: metacluster_1pattern_8, Total seqlets: 430
Pattern: metacluster_1pattern_9, Total seqlets: 292
Pattern: metacluster_1pattern_10, Total seqlets: 238
Pattern: metacluster_1pattern_11, Total seqlets: 187
Pattern: metacluster_1pattern_12, Total seqlets: 176
Pattern: metacluster_1pattern_13, Total seqlets: 167
Pattern: metacluster_1pattern_14, Total seqlets: 154
Pattern: metacluster_1pattern_15, Total seqlets: 119
Pattern: metacluster_1pattern_16, Total seqlets: 95
Pattern: metacluster_2pattern_0, Total seqlets: 1215
Pattern: metacluster_2pattern_1, Total seqlets: 1155
Pattern: metacluster_2pattern_2, Total seqlets: 1115
Pattern: metacluster_2pattern_3, Total seqlets: 814
Pattern: metacluster_2pattern_4, Total seqlets: 786
Pattern: metacluster_2pattern_5, Total seqlets: 684
Pattern: metacluster_2pattern_6, Total seqlets: 473
Pattern: metacluster_2pattern_7, Total seqlets: 409
Pattern: metacluster_2pattern_8, Total seqlets: 325
Pattern: metacluster_2pattern_9, Total seqlets: 324
Pattern: metacluster_2pattern_10, Total seqlets: 304
Pattern: metacluster_2pattern_11, Total seqlets: 297
Pattern: metacluster_2pattern_12, Total seqlets: 275
Pattern: metacluster_2pattern_13, Total seqlets: 246
Pattern: metacluster_2pattern_14, Total seqlets: 221
Pattern: metacluster_2pattern_15, Total seqlets: 201
Pattern: metacluster_2pattern_16, Total seqlets: 177
Pattern: metacluster_2pattern_17, Total seqlets: 172
Pattern: metacluster_2pattern_18, Total seqlets: 167
Pattern: metacluster_2pattern_19, Total seqlets: 159
Pattern: metacluster_2pattern_20, Total seqlets: 111
Pattern: metacluster_2pattern_21, Total seqlets: 108
Pattern: metacluster_2pattern_22, Total seqlets: 86
Pattern: metacluster_2pattern_23, Total seqlets: 64
Pattern: metacluster_2pattern_24, Total seqlets: 46
Pattern: metacluster_3pattern_0, Total seqlets: 1868
Pattern: metacluster_3pattern_1, Total seqlets: 818
Pattern: metacluster_3pattern_2, Total seqlets: 767
Pattern: metacluster_3pattern_3, Total seqlets: 664
Pattern: metacluster_3pattern_4, Total seqlets: 434
Pattern: metacluster_3pattern_5, Total seqlets: 342
Pattern: metacluster_3pattern_6, Total seqlets: 309
Pattern: metacluster_3pattern_7, Total seqlets: 286
Pattern: metacluster_3pattern_8, Total seqlets: 273
Pattern: metacluster_3pattern_9, Total seqlets: 229
Pattern: metacluster_3pattern_10, Total seqlets: 202
Pattern: metacluster_3pattern_11, Total seqlets: 184
Pattern: metacluster_3pattern_12, Total seqlets: 149
Pattern: metacluster_3pattern_13, Total seqlets: 128
Pattern: metacluster_3pattern_14, Total seqlets: 87
Pattern: metacluster_3pattern_15, Total seqlets: 80
Pattern: metacluster_3pattern_16, Total seqlets: 51
Pattern: metacluster_3pattern_17, Total seqlets: 42
Pattern: metacluster_3pattern_18, Total seqlets: 30
Pattern: metacluster_4pattern_0, Total seqlets: 1033
Pattern: metacluster_4pattern_1, Total seqlets: 679
Pattern: metacluster_4pattern_2, Total seqlets: 576
Pattern: metacluster_4pattern_3, Total seqlets: 113
Pattern: metacluster_5pattern_0, Total seqlets: 1331
Pattern: metacluster_5pattern_1, Total seqlets: 133
Pattern: metacluster_5pattern_2, Total seqlets: 102
Pattern: metacluster_5pattern_3, Total seqlets: 100
