dmel_gene	chrom	start	end	name	strand
FBgn0262810	NC_011091.1	175271.0	175662.0	GE27764	+
FBgn0025616	NW_002057603.1	162.0	1503.0	GE29127	+
FBgn0040343	NC_011091.1	656258.0	656828.0	GE16563	-
FBgn0040343		656066.0	656938.0		-
FBgn0040892	NC_011091.1	673717.0	674335.0	GE16644	+
FBgn0029539	NC_011091.1	706277.0	707044.0	GE16646	+
FBgn0029568	NC_011091.1	1012554.0	1014031.0	GE16671	+
FBgn0040357	NC_011091.1	1015475.0	1016230.0	GE16672	+
FBgn0052811	NC_011091.1	1108171.0	1108716.0	GE28504	-
FBgn0052806	NC_011091.1	1528804.0	1529757.0	GE16708	+
FBgn0029589	NC_011091.1	1560090.0	1561063.0	GE16510	-
FBgn0029596	NC_011091.1	6365522.0	6366613.0	GE16983	+
FBgn0025627	NC_011091.1	6362150.0	6363462.0	GE16230	-
FBgn0040353	NC_011091.1	5590527.0	5591610.0	GE16915	+
FBgn0029669	NC_011091.1	4978165.0	4979649.0	GE16303	-
FBgn0029694	NC_011091.1	4433939.0	4434809.0	GE16328	-
FBgn0029694	NC_011091.1	4432053.0	4432649.0	GE16329	-
FBgn0029694	NT_167065.1	11419876.0	11420724.0	GE26103	+
FBgn0262980	NC_011091.1	4329149.0	4329597.0	GE27921	-
FBgn0262608	NC_011091.1	4296124.0	4296638.0	GE16336	-
FBgn0262609	NC_011091.1	4295245.0	4295537.0	GE27634	-
FBgn0029707	NC_011091.1	4162836.0	4163348.0	GE16343	-
FBgn0029725		3773998.0	3774507.0		+
FBgn0029766	NC_011091.1	3143553.0	3145633.0	GE16406	-
FBgn0029766		3143510.0	3146500.0		-
FBgn0262611	NC_011091.1	2713914.0	2714498.0	GE16781	+
FBgn0053664		2526118.0	2526131.0		-
FBgn0265362	NC_011091.1	2544470.0	2545054.0	GE16454	-
FBgn0265362		2544533.0	2545029.0		-
FBgn0261849	NC_011091.1	14070762.0	14071058.0	GE28294	+
FBgn0261615	NC_011091.1	14038726.0	14039335.0	GE28498	-
