chrom,chromStart,chromEnd,name,mp,label1,label2,mel,yak,sim,correct,delta
3L,6870393.0,6871393.0,w501_peak_11675_merged,6870892.5,1,1,0.32524666,0.050997548,0.67472655,True,0.48660445
3L,16142360.0,16143360.0,w501_peak_13739_head,16142860.0,1,0,0.5255859,0.3717335,0.7816128,True,0.33295313
3L,11874476.0,11875476.0,w501_peak_12902_head,11874976.0,1,0,0.4032571,0.25655153,0.6617129,True,0.33180857
3L,12686949.0,12687949.0,w501_peak_13043_head,12687449.0,1,0,0.19496599,0.41961655,0.6282761,True,0.32098484
3L,8731265.0,8732265.0,w501_peak_12124_head,8731765.0,1,0,0.54577416,0.710791,0.9342922,True,0.30600965
3L,7159842.0,7160842.0,w501_peak_11741_head,7160341.5,1,0,0.51487523,0.44698,0.77955407,True,0.29862645
3L,16343631.0,16344631.0,w501_peak_13793_head,16344131.0,1,0,0.43436292,0.41552588,0.7108577,True,0.2859133
3L,136845.0,137845.0,w501_peak_10029_head,137344.5,1,0,0.107725345,0.09533795,0.3632766,True,0.26174495
3L,1721340.0,1722340.0,w501_peak_10505_head,1721839.5,1,0,0.29110897,0.3959518,0.5899472,True,0.24641684
3L,2236703.0,2237703.0,w501_peak_10603_head,2237203.0,1,0,0.36108935,0.25820994,0.5543017,True,0.24465203
3L,18164203.0,18165203.0,w501_peak_14210_head,18164703.0,1,0,0.13191795,0.15496042,0.38576457,True,0.24232538
3L,13055421.0,13056421.0,w501_peak_13115_head,13055921.0,1,0,0.32199764,0.38582617,0.5938996,True,0.2399877
3L,881512.0,882512.0,w501_peak_10268_head,882012.0,1,0,0.06614029,0.05780628,0.29939175,True,0.23741847
3L,17346364.0,17347364.0,w501_peak_14047_head,17346864.0,1,0,0.6237621,0.23277967,0.6651241,True,0.23685324
3L,637541.0,638541.0,w501_peak_10178_head,638041.0,1,0,0.07626278,0.19478157,0.37077683,True,0.23525466
3L,18182069.0,18183069.0,w501_peak_14216_head,18182568.5,1,0,0.5123496,0.15444353,0.56718296,True,0.2337864
3L,1284949.0,1285949.0,w501_peak_10410_head,1285449.0,1,0,0.26448154,0.4363661,0.578137,True,0.22771317
3L,12669900.0,12670900.0,w501_peak_13038_head,12670400.0,1,0,0.41319984,0.44881293,0.6556078,True,0.22460145
3L,2512063.0,2513063.0,w501_peak_10709_head,2512562.5,1,0,0.7711527,0.5167598,0.86079955,True,0.2168433
3L,14491117.0,14492117.0,w501_peak_13366_head,14491617.0,1,0,0.2528126,0.2053302,0.43834445,True,0.20927306
3L,2436986.0,2437986.0,w501_peak_10679_head,2437486.0,1,0,0.2302496,0.15106207,0.39904082,True,0.20838499
3L,12488003.0,12489003.0,w501_peak_13004_head,12488502.5,1,0,0.4868988,0.40456635,0.6495438,True,0.20381123
3L,14692338.0,14693338.0,w501_peak_13407_head,14692838.0,1,0,0.3242651,0.46209574,0.59209865,True,0.19891822
3L,16086901.0,16087901.0,w501_peak_13726_head,16087400.5,1,0,0.31075808,0.0948881,0.3963876,True,0.19356452
3L,7702306.0,7703306.0,w501_peak_11876_head,7702805.5,1,0,0.18593553,0.059308477,0.31397128,True,0.19134928
3L,11912216.0,11913216.0,w501_peak_12914_head,11912715.5,1,0,0.13742077,0.29914555,0.4084534,True,0.19017024
3L,683281.0,684281.0,w501_peak_10195_head,683780.5,1,0,0.1549581,0.09999618,0.31754827,True,0.19007114
3L,8950404.0,8951404.0,w501_peak_12174_head,8950904.0,1,0,0.5243608,0.29469633,0.596246,True,0.18671745
3L,9283875.0,9284875.0,w501_peak_12251_head,9284375.0,1,0,0.77046055,0.49768418,0.8149945,True,0.18092215
3L,9976460.0,9977460.0,w501_peak_12402_head,9976960.0,1,0,0.10966524,0.10804849,0.28911716,True,0.1802603
3L,16472925.0,16473925.0,w501_peak_13826_head,16473425.0,1,0,0.3660942,0.47690916,0.60054153,True,0.17903984
3L,16660305.0,16661305.0,w501_peak_13874_head,16660805.0,1,0,0.6247546,0.40991607,0.6942253,True,0.17688996
3L,18078461.0,18079461.0,w501_peak_14194_head,18078960.5,1,0,0.45590538,0.40194452,0.6041553,True,0.17523035
3L,16815287.0,16816287.0,w501_peak_13933_head,16815786.5,1,0,0.62705356,0.45513016,0.71615094,True,0.17505908
3L,5485298.0,5486298.0,w501_peak_11396_merged,5485797.5,1,1,0.26610306,0.12457612,0.36637414,True,0.17103454
3L,17087806.0,17088806.0,w501_peak_13973_head,17088305.5,1,0,0.5837073,0.5691257,0.74285436,True,0.16643786
3L,2100963.0,2101963.0,w501_peak_10571_head,2101462.5,1,0,0.34098592,0.16986793,0.40922028,True,0.15379333
3L,2278170.0,2279170.0,w501_peak_10612_head,2278670.0,1,0,0.26607186,0.29267702,0.42580187,True,0.14642745
3L,7587480.0,7588480.0,w501_peak_11829_head,7587979.5,1,0,0.16154824,0.14148568,0.29722872,True,0.14571176
3L,4739891.0,4740891.0,w501_peak_11259_head,4740391.0,1,0,0.2895614,0.37071726,0.47423348,True,0.14409414
3L,17500462.0,17501462.0,w501_peak_14080_head,17500961.5,1,0,0.55072856,0.46988612,0.6533695,True,0.14306217
3L,18078951.0,18079951.0,w501_peak_14195_head,18079450.5,1,0,0.1979884,0.11638265,0.29814163,True,0.1409561
3L,10353932.0,10354932.0,w501_peak_12487_head,10354431.5,1,0,0.8488415,0.55712914,0.84020066,False,0.13721538
3L,17549349.0,17550349.0,w501_peak_14105_head,17549849.0,1,0,0.34035307,0.35719222,0.48343602,True,0.13466337
3L,2788233.0,2789233.0,w501_peak_10793_head,2788732.5,1,0,0.035553787,0.11310992,0.20738997,True,0.13305812
3L,4550608.0,4551608.0,w501_peak_11226_head,4551107.5,1,0,0.20760247,0.54717195,0.50879484,False,0.13140762
3L,6405605.0,6406605.0,w501_peak_11584_head,6406105.0,1,0,0.45442384,0.27102008,0.49325788,True,0.1305359
3L,6577351.0,6578351.0,w501_peak_11618_head,6577850.5,1,0,0.5887421,0.2651858,0.55723214,False,0.13026822
3L,11642789.0,11643789.0,w501_peak_12859_head,11643288.5,1,0,0.2153483,0.13317755,0.30415127,True,0.12988834
3L,8056965.0,8057965.0,w501_peak_11947_head,8057465.0,1,0,0.2887648,0.39912295,0.47242707,True,0.12848318
3L,17174810.0,17175810.0,w501_peak_14001_head,17175310.0,1,0,0.8505863,0.7396801,0.92171234,True,0.1265791
3L,9469513.0,9470513.0,w501_peak_12296_head,9470012.5,1,0,0.66811824,0.46387276,0.6876632,True,0.12166768
3L,19119713.0,19120713.0,w501_peak_14426_head,19120213.0,1,0,0.24703282,0.36876324,0.42900494,True,0.12110689
3L,11583222.0,11584222.0,w501_peak_12843_head,11583722.0,1,0,0.25830504,0.26761547,0.3838915,True,0.12093124
3L,14148517.0,14149517.0,w501_peak_13283_head,14149016.5,1,0,0.6910202,0.64194024,0.7872539,True,0.12077373
3L,7667665.0,7668665.0,w501_peak_11861_head,7668165.0,1,0,0.80724674,0.57077706,0.8097003,True,0.12068838
