chrom,chromStart,chromEnd,name,mp,label1,label2,sim,yak,mel,correct,delta
2L,15839244.0,15840244.0,2057_peak_3222_head,15839743.5,1,0,0.007814365,0.012281075,0.90589595,True,0.8958482
2L,12743103.0,12744103.0,2057_peak_2627_merged,12743603.0,1,1,0.0057118214,0.022628868,0.8888277,True,0.87465733
2L,8018585.0,8019585.0,2057_peak_1661_merged,8019085.0,1,1,0.00082313194,0.009784491,0.7177916,True,0.7124878
2L,8641415.0,8642415.0,2057_peak_1817_head,8641915.0,1,0,0.29194275,0.3423059,0.8117263,True,0.49460196
2L,2940807.0,2941807.0,2057_peak_618_head,2941306.5,1,0,0.10898135,0.59965944,0.81773585,True,0.46341544
2L,2931673.0,2932673.0,2057_peak_615_head,2932172.5,1,0,0.19801037,0.3119682,0.6913257,True,0.43633643
2L,10142872.0,10143872.0,2057_peak_2146_merged,10143372.0,1,1,0.06559566,0.069199,0.4997666,True,0.43236926
2L,8365169.0,8366169.0,2057_peak_1747_head,8365668.5,1,0,0.230129,0.04770902,0.569889,True,0.43097
2L,10038821.0,10039821.0,2057_peak_2134_head,10039320.5,1,0,0.29177457,0.715527,0.91538775,True,0.41173697
2L,2715778.0,2716778.0,2057_peak_551_head,2716278.0,1,0,0.4281851,0.18822443,0.7192992,True,0.41109443
2L,8634845.0,8635845.0,2057_peak_1815_head,8635344.5,1,0,0.51013434,0.14989145,0.71042997,True,0.38041708
2L,7071793.0,7072793.0,2057_peak_1460_head,7072293.0,1,0,0.66500443,0.20577009,0.8130307,True,0.37764347
2L,16225428.0,16226428.0,2057_peak_3256_head,16225927.5,1,0,0.623385,0.3834847,0.853617,True,0.35018218
2L,3688234.0,3689234.0,2057_peak_777_head,3688733.5,1,0,0.78842753,0.3045053,0.8875989,True,0.34113246
2L,6113022.0,6114022.0,2057_peak_1279_head,6113522.0,1,0,0.56882423,0.015150417,0.6217749,True,0.32978758
2L,7485239.0,7486239.0,2057_peak_1540_head,7485739.0,1,0,0.12066641,0.04769044,0.40600887,True,0.32183045
2L,8628492.0,8629492.0,2057_peak_1812_head,8628992.0,1,0,0.02612444,0.20483613,0.43420312,True,0.31872284
2L,13405392.0,13406392.0,2057_peak_2780_merged,13405891.5,1,1,0.16058193,0.0644864,0.4311907,True,0.31865653
2L,15155525.0,15156525.0,2057_peak_3132_head,15156025.0,1,0,0.8878999,0.20690033,0.8516067,False,0.3042066
2L,2999869.0,3000869.0,2057_peak_635_head,3000369.0,1,0,0.11993995,0.11910022,0.41690472,True,0.29738462
2L,14005184.0,14006184.0,2057_peak_2894_head,14005683.5,1,0,0.41233355,0.33472914,0.66237706,True,0.28884572
2L,12332367.0,12333367.0,2057_peak_2537_head,12332866.5,1,0,0.75218064,0.26983854,0.7986756,True,0.28766602
2L,15640263.0,15641263.0,2057_peak_3187_head,15640762.5,1,0,0.79782516,0.3952877,0.85416776,True,0.25761133
2L,6135666.0,6136666.0,2057_peak_1284_head,6136166.0,1,0,0.21044177,0.17647026,0.44404572,True,0.2505897
2L,9194816.0,9195816.0,2057_peak_1917_head,9195316.0,1,0,0.13377345,0.1782437,0.40385237,True,0.2478438
2L,10095682.0,10096682.0,2057_peak_2143_head,10096182.0,1,0,0.13594984,0.31558073,0.47253853,True,0.24677324
2L,11917940.0,11918940.0,2057_peak_2464_head,11918439.5,1,0,0.2753764,0.4794851,0.6163144,True,0.23888367
2L,13869115.0,13870115.0,2057_peak_2874_head,13869614.5,1,0,0.27155086,0.49085605,0.61981726,True,0.23861378
2L,14144955.0,14145955.0,2057_peak_2929_head,14145454.5,1,0,0.40050516,0.6947155,0.78087664,True,0.2332663
2L,11901585.0,11902585.0,2057_peak_2459_head,11902085.0,1,0,0.4046599,0.3109109,0.59061,True,0.23282462
2L,10919781.0,10920781.0,2057_peak_2315_head,10920280.5,1,0,0.7105084,0.2890493,0.7324917,True,0.2327128
2L,15169934.0,15170934.0,2057_peak_3133_head,15170434.0,1,0,0.2819939,0.15669955,0.45063555,True,0.23128882
2L,2131557.0,2132557.0,2057_peak_449_merged,2132056.5,1,1,0.15146755,0.21211906,0.4094654,True,0.2276721
2L,9371646.0,9372646.0,2057_peak_1971_head,9372146.0,1,0,0.31969732,0.39018357,0.57721925,True,0.2222788
2L,2719843.0,2720843.0,2057_peak_552_head,2720342.5,1,0,0.6028646,0.13176422,0.5874874,False,0.22017297
2L,1596443.0,1597443.0,2057_peak_333_head,1596943.0,1,0,0.49562296,0.5534673,0.7380923,True,0.21354717
2L,4266813.0,4267813.0,2057_peak_871_head,4267313.0,1,0,0.35954657,0.072843604,0.42311326,True,0.20691817
2L,4896472.0,4897472.0,2057_peak_1009_head,4896971.5,1,0,0.103202716,0.05218416,0.2753456,True,0.19765216
2L,14699477.0,14700477.0,2057_peak_3065_head,14699977.0,1,0,0.9471596,0.3674241,0.8460536,False,0.18876177
2L,1488995.0,1489995.0,2057_peak_318_head,1489494.5,1,0,0.15892246,0.086660035,0.2943462,True,0.17155497
2L,13628833.0,13629833.0,2057_peak_2832_head,13629332.5,1,0,0.74439687,0.2790315,0.6812327,False,0.16951853
2L,9224980.0,9225980.0,2057_peak_1926_head,9225479.5,1,0,0.45810354,0.710338,0.74731076,True,0.16308999
2L,5196981.0,5197981.0,2057_peak_1091_head,5197480.5,1,0,0.36459818,0.4059249,0.5380177,True,0.15275615
2L,1253258.0,1254258.0,2057_peak_282_head,1253758.0,1,0,0.86306953,0.5278778,0.84703743,False,0.15156376
2L,13417454.0,13418454.0,2057_peak_2782_head,13417953.5,1,0,0.7218382,0.4600963,0.7346344,True,0.14366716
2L,13051546.0,13052546.0,2057_peak_2689_head,13052046.0,1,0,0.075590156,0.021863801,0.18874389,True,0.14001691
2L,5197675.0,5198675.0,2057_peak_1092_head,5198175.0,1,0,0.33347315,0.13256724,0.3710742,True,0.13805401
2L,12962114.0,12963114.0,2057_peak_2660_head,12962613.5,1,0,0.732613,0.68762654,0.84592885,True,0.13580906
2L,3979838.0,3980838.0,2057_peak_827_head,3980337.5,1,0,0.71889836,0.6391407,0.8111363,True,0.13211673
2L,5682739.0,5683739.0,2057_peak_1184_head,5683238.5,1,0,0.79502404,0.6156064,0.83277637,True,0.12746114
2L,7648241.0,7649241.0,2057_peak_1574_head,7648740.5,1,0,0.85939395,0.7142203,0.9125042,True,0.12569708
2L,12509568.0,12510568.0,2057_peak_2586_head,12510068.0,1,0,0.6349319,0.4450162,0.66466755,True,0.12469345
2L,332221.0,333221.0,2057_peak_82_head,332720.5,1,0,0.5805956,0.23246996,0.52978784,False,0.123255044
2L,2371030.0,2372030.0,2057_peak_505_head,2371529.5,1,0,0.02410807,0.04739445,0.15546335,True,0.11971209
2L,11182275.0,11183275.0,2057_peak_2365_head,11182775.0,1,0,0.7770037,0.3122972,0.65784234,False,0.1131919
2L,6204671.0,6205671.0,2057_peak_1295_head,6205170.5,1,0,0.5588685,0.28714123,0.5346726,False,0.11166775
2L,7487248.0,7488248.0,2057_peak_1541_head,7487748.0,1,0,0.17924924,0.082722776,0.2331693,True,0.1021833
2L,14939549.0,14940549.0,2057_peak_3086_head,14940048.5,1,0,0.77461195,0.6464648,0.80693257,True,0.09639418
2L,12337640.0,12338640.0,2057_peak_2538_head,12338139.5,1,0,0.6477706,0.79678094,0.8166216,True,0.09434587
2L,4311157.0,4312157.0,2057_peak_883_head,4311656.5,1,0,0.14465669,0.09711431,0.21379189,True,0.09290639
2L,9827783.0,9828783.0,2057_peak_2080_head,9828283.0,1,0,0.61909425,0.6243745,0.7115627,True,0.08982831
2L,10851121.0,10852121.0,2057_peak_2306_head,10851621.0,1,0,0.14971663,0.11572419,0.21928184,True,0.08656143
2L,944905.0,945905.0,2057_peak_206_head,945405.0,1,0,0.89664894,0.7909301,0.92828655,True,0.084497035
2L,16148111.0,16149111.0,2057_peak_3249_head,16148610.5,1,0,0.046019413,0.015862696,0.113918245,True,0.08297719
2L,3964936.0,3965936.0,2057_peak_825_head,3965435.5,1,0,0.20938429,0.18351974,0.27784532,True,0.0813933
2L,15183057.0,15184057.0,2057_peak_3138_head,15183557.0,1,0,0.6893414,0.4187499,0.63466245,False,0.08061677
2L,3789422.0,3790422.0,2057_peak_802_merged,3789921.5,1,1,0.8368322,0.76581043,0.8800687,True,0.07874739
2L,10163597.0,10164597.0,2057_peak_2148_head,10164096.5,1,0,0.28004593,0.5573497,0.49530563,False,0.07660782
2L,1408928.0,1409928.0,2057_peak_306_head,1409427.5,1,0,0.05757297,0.02180685,0.11539384,True,0.075703934
2L,11843952.0,11844952.0,2057_peak_2448_head,11844452.0,1,0,0.35698763,0.265681,0.3857042,True,0.07436988
2L,6282092.0,6283092.0,2057_peak_1305_head,6282592.0,1,0,0.6994241,0.7307932,0.78932154,True,0.07421291
2L,6189489.0,6190489.0,2057_peak_1293_head,6189988.5,1,0,0.26144868,0.44390634,0.42450124,False,0.071823716
2L,3260741.0,3261741.0,2057_peak_692_head,3261241.0,1,0,0.7008448,0.24755064,0.54469997,False,0.07050222
2L,5845168.0,5846168.0,2057_peak_1213_head,5845667.5,1,0,0.21545587,0.8509047,0.6001672,False,0.06698692
2L,3446022.0,3447022.0,2057_peak_731_head,3446522.0,1,0,0.034502584,0.015006288,0.08845342,True,0.063698985
2L,14463688.0,14464688.0,2057_peak_2997_head,14464188.0,1,0,0.25290918,0.25523493,0.31732714,True,0.06325507
2L,3953263.0,3954263.0,2057_peak_824_head,3953763.0,1,0,0.53329164,0.72906125,0.6911654,False,0.059988916
2L,10070570.0,10071570.0,2057_peak_2140_head,10071069.5,1,0,0.017076055,0.05493952,0.08716858,True,0.051160794
2L,9310571.0,9311571.0,2057_peak_1954_head,9311070.5,1,0,0.10356207,0.038014002,0.11921646,True,0.048428416
2L,9090151.0,9091151.0,2057_peak_1888_head,9090651.0,1,0,0.8187658,0.65298367,0.78281033,False,0.04693556
2L,9829670.0,9830670.0,2057_peak_2082_head,9830169.5,1,0,0.8792111,0.71248263,0.8388679,False,0.043021023
2L,14096966.0,14097966.0,2057_peak_2916_head,14097465.5,1,0,0.89403814,0.9114621,0.94363844,True,0.04088831
2L,34463.0,35463.0,2057_peak_7_head,34963.0,1,0,0.9165192,0.8906963,0.943503,True,0.039895296
2L,7373367.0,7374367.0,2057_peak_1515_head,7373867.0,1,0,0.05127162,0.004536192,0.06644067,True,0.038536765
2L,10628155.0,10629155.0,2057_peak_2258_head,10628655.0,1,0,0.06831014,0.08008209,0.111045286,True,0.03684917
2L,10899688.0,10900688.0,2057_peak_2314_head,10900188.0,1,0,0.13151586,0.13066167,0.16721366,True,0.0361249
2L,13642107.0,13643107.0,2057_peak_2834_merged,13642606.5,1,1,0.031555098,0.087807015,0.09250144,True,0.03282038
2L,9128070.0,9129070.0,2057_peak_1892_head,9128570.0,1,0,0.14436197,0.032845136,0.11962439,False,0.031020835
2L,7362653.0,7363653.0,2057_peak_1512_head,7363153.0,1,0,0.8878683,0.85549253,0.9014319,True,0.02975154
2L,15149672.0,15150672.0,2057_peak_3131_head,15150172.0,1,0,0.6213864,0.35843247,0.5159408,False,0.026031345
2L,10854263.0,10855263.0,2057_peak_2307_merged,10854763.0,1,1,0.12690757,0.025237128,0.10167974,False,0.025607392
2L,9869189.0,9870189.0,2057_peak_2092_head,9869688.5,1,0,0.2579479,0.09928736,0.19987322,False,0.021255597
2L,9039300.0,9040300.0,2057_peak_1882_head,9039800.0,1,0,0.8323222,0.91512746,0.8904282,False,0.016703367
2L,15177842.0,15178842.0,2057_peak_3136_head,15178341.5,1,0,0.012312089,0.06576879,0.054675058,False,0.015634615
2L,6740517.0,6741517.0,2057_peak_1389_head,6741016.5,1,0,0.4584964,0.34627175,0.4131333,False,0.010749221
2L,12157869.0,12158869.0,2057_peak_2520_merged,12158368.5,1,1,0.020414155,0.018612929,0.027496308,True,0.007982766
2L,3440799.0,3441799.0,2057_peak_728_head,3441298.5,1,0,0.070256606,0.007526643,0.045448896,False,0.006557271
2L,3290199.0,3291199.0,2057_peak_696_head,3290699.0,1,0,0.01606821,0.009628041,0.019322706,True,0.0064745806
2L,7904743.0,7905743.0,2057_peak_1619_head,7905243.0,1,0,0.16744035,0.027542094,0.101971194,False,0.004479967
2L,3356956.0,3357956.0,2057_peak_709_merged,3357455.5,1,1,0.024341093,0.06211651,0.045493525,False,0.0022647232
2L,2640940.0,2641940.0,2057_peak_545_head,2641440.0,1,0,0.39900562,0.6584268,0.530847,False,0.0021308064
