Chromosome,Start,End,label_head,label_testis,Nearest_Chromosome,Nearest_Start,Nearest_End,Gene_ID,Identifier,Strand,Distance
2L,5000,6000,0.0,0.0,2L,313828,316164,FBgn0264086,GD22964,-,-307829
2L,14000,15000,0.0,0.0,2L,313828,316164,FBgn0264086,GD22964,-,-298829
2L,18000,19000,0.0,0.0,2L,313828,316164,FBgn0264086,GD22964,-,-294829
2L,26000,27000,0.0,0.0,2L,313828,316164,FBgn0264086,GD22964,-,-286829
2L,33000,34000,0.0,0.0,2L,313828,316164,FBgn0264086,GD22964,-,-279829
2L,49000,50000,0.0,0.0,2L,313828,316164,FBgn0264086,GD22964,-,-263829
2L,50000,51000,0.0,0.0,2L,313828,316164,FBgn0264086,GD22964,-,-262829
2L,56000,57000,0.0,0.0,2L,313828,316164,FBgn0264086,GD22964,-,-256829
2L,63000,64000,0.0,0.0,2L,313828,316164,FBgn0264086,GD22964,-,-249829
2L,66937,67937,0.0,1.0,2L,313828,316164,FBgn0264086,GD22964,-,-245892
2L,78000,79000,0.0,0.0,2L,313828,316164,FBgn0264086,GD22964,-,-234829
2L,80628,81628,1.0,1.0,2L,313828,316164,FBgn0264086,GD22964,-,-232201
2L,86000,87000,0.0,0.0,2L,313828,316164,FBgn0264086,GD22964,-,-226829
2L,88202,89202,1.0,1.0,2L,313828,316164,FBgn0264086,GD22964,-,-224627
2L,100830,101830,0.0,1.0,2L,313828,316164,FBgn0264086,GD22964,-,-211999
2L,102000,103000,0.0,0.0,2L,313828,316164,FBgn0264086,GD22964,-,-210829
2L,106542,107542,1.0,1.0,2L,313828,316164,FBgn0264086,GD22964,-,-206287
2L,107462,108462,0.0,1.0,2L,313828,316164,FBgn0264086,GD22964,-,-205367
2L,113000,114000,0.0,0.0,2L,313828,316164,FBgn0264086,GD22964,-,-199829
2L,120026,121026,0.0,1.0,2L,313828,316164,FBgn0264086,GD22964,-,-192803
2L,127000,128000,0.0,0.0,2L,313828,316164,FBgn0264086,GD22964,-,-185829
2L,146602,147602,1.0,1.0,2L,313828,316164,FBgn0264086,GD22964,-,-166227
2L,150000,151000,0.0,0.0,2L,313828,316164,FBgn0264086,GD22964,-,-162829
2L,151865,152865,1.0,1.0,2L,313828,316164,FBgn0264086,GD22964,-,-160964
2L,155000,156000,0.0,0.0,2L,313828,316164,FBgn0264086,GD22964,-,-157829
2L,157087,158087,1.0,1.0,2L,313828,316164,FBgn0264086,GD22964,-,-155742
2L,163000,164000,0.0,0.0,2L,313828,316164,FBgn0264086,GD22964,-,-149829
2L,177000,178000,0.0,0.0,2L,313828,316164,FBgn0264086,GD22964,-,-135829
2L,183000,184000,0.0,0.0,2L,313828,316164,FBgn0264086,GD22964,-,-129829
2L,191000,192000,0.0,0.0,2L,313828,316164,FBgn0264086,GD22964,-,-121829
2L,195000,196000,0.0,0.0,2L,313828,316164,FBgn0264086,GD22964,-,-117829
2L,208574,209574,1.0,1.0,2L,313828,316164,FBgn0264086,GD22964,-,-104255
2L,213000,214000,0.0,0.0,2L,313828,316164,FBgn0264086,GD22964,-,-99829
2L,233352,234352,1.0,1.0,2L,313828,316164,FBgn0264086,GD22964,-,-79477
2L,235666,236666,1.0,1.0,2L,313828,316164,FBgn0264086,GD22964,-,-77163
2L,236565,237565,1.0,1.0,2L,313828,316164,FBgn0264086,GD22964,-,-76264
2L,252000,253000,0.0,0.0,2L,313828,316164,FBgn0264086,GD22964,-,-60829
2L,255000,256000,0.0,0.0,2L,313828,316164,FBgn0264086,GD22964,-,-57829
2L,270000,271000,0.0,0.0,2L,313828,316164,FBgn0264086,GD22964,-,-42829
2L,271372,272372,1.0,1.0,2L,313828,316164,FBgn0264086,GD22964,-,-41457
2L,272271,273271,1.0,1.0,2L,313828,316164,FBgn0264086,GD22964,-,-40558
2L,280377,281377,0.0,1.0,2L,313828,316164,FBgn0264086,GD22964,-,-32452
2L,285000,286000,0.0,0.0,2L,313828,316164,FBgn0264086,GD22964,-,-27829
2L,288000,289000,0.0,0.0,2L,313828,316164,FBgn0264086,GD22964,-,-24829
2L,302000,303000,0.0,0.0,2L,313828,316164,FBgn0264086,GD22964,-,-10829
2L,322472,323472,1.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,3828
2L,335937,336937,1.0,1.0,2L,316265,318645,FBgn0264086,GD22963,-,17293
2L,349936,350936,1.0,1.0,2L,316265,318645,FBgn0264086,GD22963,-,31292
2L,352000,353000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,33356
2L,356000,357000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,37356
2L,364000,365000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,45356
2L,378000,379000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,59356
2L,381000,382000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,62356
2L,384000,385000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,65356
2L,390000,391000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,71356
2L,392238,393238,1.0,1.0,2L,316265,318645,FBgn0264086,GD22963,-,73594
2L,395000,396000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,76356
2L,435000,436000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,116356
2L,436000,437000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,117356
2L,439218,440218,1.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,120574
2L,443173,444173,1.0,1.0,2L,316265,318645,FBgn0264086,GD22963,-,124529
2L,444479,445479,1.0,1.0,2L,316265,318645,FBgn0264086,GD22963,-,125835
2L,460000,461000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,141356
2L,476000,477000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,157356
2L,482026,483026,0.0,1.0,2L,316265,318645,FBgn0264086,GD22963,-,163382
2L,483000,484000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,164356
2L,487000,488000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,168356
2L,494000,495000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,175356
2L,502000,503000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,183356
2L,506000,507000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,187356
2L,519000,520000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,200356
2L,541353,542353,1.0,1.0,2L,316265,318645,FBgn0264086,GD22963,-,222709
2L,543000,544000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,224356
2L,544000,545000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,225356
2L,550077,551077,0.0,1.0,2L,316265,318645,FBgn0264086,GD22963,-,231433
2L,550611,551611,1.0,1.0,2L,316265,318645,FBgn0264086,GD22963,-,231967
2L,571000,572000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,252356
2L,587000,588000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,268356
2L,618000,619000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,299356
2L,622000,623000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,303356
2L,636000,637000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,317356
2L,645000,646000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,326356
2L,646000,647000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,327356
2L,654000,655000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,335356
2L,655250,656250,0.0,1.0,2L,316265,318645,FBgn0264086,GD22963,-,336606
2L,665000,666000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,346356
2L,670000,671000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,351356
2L,688000,689000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,369356
2L,692000,693000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,373356
2L,694000,695000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,375356
2L,713000,714000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,394356
2L,720000,721000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,401356
2L,731000,732000,0.0,0.0,2L,316265,318645,FBgn0264086,GD22963,-,412356
2L,737061,738061,0.0,1.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-407559
2L,756000,757000,0.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-388620
2L,775000,776000,0.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-369620
2L,792000,793000,0.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-352620
2L,796201,797201,1.0,1.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-348419
2L,805059,806059,0.0,1.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-339561
2L,806788,807788,0.0,1.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-337832
2L,808968,809968,1.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-335652
2L,815052,816052,1.0,1.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-329568
2L,816000,817000,0.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-328620
2L,817000,818000,0.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-327620
2L,817616,818616,1.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-327004
2L,819457,820457,0.0,1.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-325163
2L,829747,830747,1.0,1.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-314873
2L,832837,833837,1.0,1.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-311783
2L,836484,837484,1.0,1.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-308136
2L,857000,858000,0.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-287620
2L,875000,876000,0.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-269620
2L,879000,880000,0.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-265620
2L,886045,887045,1.0,1.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-258575
2L,896000,897000,0.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-248620
2L,901000,902000,0.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-243620
2L,911000,912000,0.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-233620
2L,916000,917000,0.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-228620
2L,917000,918000,0.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-227620
2L,936000,937000,0.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-208620
2L,938482,939482,1.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-206138
2L,946000,947000,0.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-198620
2L,954142,955142,1.0,1.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-190478
2L,976000,977000,0.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-168620
2L,983000,984000,0.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-161620
2L,990893,991893,1.0,1.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-153727
2L,1000308,1001308,0.0,1.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-144312
2L,1017000,1018000,0.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-127620
2L,1027000,1028000,0.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-117620
2L,1030368,1031368,1.0,1.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-114252
2L,1033000,1034000,0.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-111620
2L,1039000,1040000,0.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-105620
2L,1044017,1045017,1.0,1.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-100603
2L,1053000,1054000,0.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-91620
2L,1055351,1056351,1.0,1.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-89269
2L,1059000,1060000,0.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-85620
2L,1059981,1060981,1.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-84639
2L,1072477,1073477,1.0,1.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-72143
2L,1088000,1089000,0.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-56620
2L,1099554,1100554,0.0,1.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-45066
2L,1099925,1100925,0.0,1.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-44695
2L,1102341,1103341,1.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-42279
2L,1109000,1110000,0.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-35620
2L,1116874,1117874,1.0,1.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-27746
2L,1127000,1128000,0.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-17620
2L,1137000,1138000,0.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-7620
2L,1139000,1140000,0.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-5620
2L,1141000,1142000,0.0,0.0,2L,1145619,1146404,FBgn0031323,GD22918,-,-3620
2L,1153000,1154000,0.0,0.0,2L,1146562,1146871,FBgn0263080,GD27028,+,6130
2L,1158000,1159000,0.0,0.0,2L,1146562,1146871,FBgn0263080,GD27028,+,11130
2L,1160000,1161000,0.0,0.0,2L,1146562,1146871,FBgn0263080,GD27028,+,13130
2L,1162000,1163000,0.0,0.0,2L,1146562,1146871,FBgn0263080,GD27028,+,15130
2L,1164614,1165614,0.0,1.0,2L,1146562,1146871,FBgn0263080,GD27028,+,17744
2L,1168000,1169000,0.0,0.0,2L,1146562,1146871,FBgn0263080,GD27028,+,21130
2L,1178000,1179000,0.0,0.0,2L,1146562,1146871,FBgn0263080,GD27028,+,31130
2L,1188000,1189000,0.0,0.0,2L,1146562,1146871,FBgn0263080,GD27028,+,41130
2L,1190000,1191000,0.0,0.0,2L,1146562,1146871,FBgn0263080,GD27028,+,43130
2L,1199000,1200000,0.0,0.0,2L,1146562,1146871,FBgn0263080,GD27028,+,52130
2L,1227000,1228000,0.0,0.0,2L,1146562,1146871,FBgn0263080,GD27028,+,80130
2L,1228000,1229000,0.0,0.0,2L,1146562,1146871,FBgn0263080,GD27028,+,81130
2L,1236000,1237000,0.0,0.0,2L,1146562,1146871,FBgn0263080,GD27028,+,89130
2L,1244000,1245000,0.0,0.0,2L,1146562,1146871,FBgn0263080,GD27028,+,97130
2L,1260000,1261000,0.0,0.0,2L,1366150,1366786,FBgn0263320,GD28431,+,-105151
2L,1263000,1264000,0.0,0.0,2L,1366150,1366786,FBgn0263320,GD28431,+,-102151
2L,1272000,1273000,0.0,0.0,2L,1366150,1366786,FBgn0263320,GD28431,+,-93151
2L,1273000,1274000,0.0,0.0,2L,1366150,1366786,FBgn0263320,GD28431,+,-92151
2L,1281000,1282000,0.0,0.0,2L,1366150,1366786,FBgn0263320,GD28431,+,-84151
2L,1325000,1326000,0.0,0.0,2L,1366150,1366786,FBgn0263320,GD28431,+,-40151
2L,1359000,1360000,0.0,0.0,2L,1366150,1366786,FBgn0263320,GD28431,+,-6151
2L,1362000,1363000,0.0,0.0,2L,1366150,1366786,FBgn0263320,GD28431,+,-3151
2L,1363052,1364052,0.0,1.0,2L,1366150,1366786,FBgn0263320,GD28431,+,-2099
2L,1392000,1393000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,11144
