Peak_chr	Peak_Start	Peak_End	label_head	label_testis	Gene_chr	Gene_Start	Gene_End	Gene_ID	Gene_Symbol	Transcript_ID	Transcript_Symbol	signed_distance
2L	16278	17278	1.0	0.0	2L	9839	21376	FBgn0002121	l(2)gl	FBtr0078166	l(2)gl-RB	0
2L	17912	18912	1.0	1.0	2L	9839	21376	FBgn0002121	l(2)gl	FBtr0078166	l(2)gl-RB	0
2L	19117	20117	1.0	0.0	2L	9839	21376	FBgn0002121	l(2)gl	FBtr0078166	l(2)gl-RB	0
2L	20749	21749	1.0	1.0	2L	9839	21376	FBgn0002121	l(2)gl	FBtr0078166	l(2)gl-RB	0
2L	34463	35463	0.0	1.0	2L	25402	65404	FBgn0051973	Cda5	FBtr0078163	Cda5-RA	0
2L	47390	48390	1.0	0.0	2L	25402	65404	FBgn0051973	Cda5	FBtr0078163	Cda5-RA	0
2L	53782	54782	1.0	0.0	2L	25402	65404	FBgn0051973	Cda5	FBtr0078163	Cda5-RA	0
2L	54450	55450	1.0	0.0	2L	25402	65404	FBgn0051973	Cda5	FBtr0078163	Cda5-RA	0
2L	54450	55450	1.0	0.0	2L	54817	55767	FBgn0267987	lncRNA:CR46254	FBtr0347585	lncRNA:CR46254-RA	0
2L	55383	56383	1.0	0.0	2L	25402	65404	FBgn0051973	Cda5	FBtr0078163	Cda5-RA	0
2L	55383	56383	1.0	0.0	2L	54817	55767	FBgn0267987	lncRNA:CR46254	FBtr0347585	lncRNA:CR46254-RA	0
2L	56848	57848	1.0	0.0	2L	25402	65404	FBgn0051973	Cda5	FBtr0078163	Cda5-RA	0
2L	57781	58781	1.0	0.0	2L	25402	65404	FBgn0051973	Cda5	FBtr0078163	Cda5-RA	0
2L	58897	59897	1.0	0.0	2L	25402	65404	FBgn0051973	Cda5	FBtr0078163	Cda5-RA	0
2L	61533	62533	1.0	0.0	2L	25402	65404	FBgn0051973	Cda5	FBtr0078163	Cda5-RA	0
2L	66503	67503	1.0	1.0	2L	66318	66524	FBgn0266879	lncRNA:CR45340	FBtr0345733	lncRNA:CR45340-RA	0
2L	66503	67503	1.0	1.0	2L	66482	71390	FBgn0067779	dbr	FBtr0078100	dbr-RB	0
2L	72716	73716	1.0	1.0	2L	71039	73836	FBgn0266322	asRNA:CR44987	FBtr0344052	asRNA:CR44987-RA	0
2L	72716	73716	1.0	1.0	2L	71757	76211	FBgn0031213	galectin	FBtr0078101	galectin-RA	0
2L	80860	81860	1.0	0.0	2L	82421	87387	FBgn0002931	net	FBtr0290323	net-RB	561
2L	81725	82725	1.0	0.0	2L	82421	87387	FBgn0002931	net	FBtr0290323	net-RB	0
2L	87058	88058	1.0	1.0	2L	82421	87387	FBgn0002931	net	FBtr0290323	net-RB	0
2L	93765	94765	1.0	0.0	2L	94739	102086	FBgn0031216	Zir	FBtr0078103	Zir-RA	0
2L	94394	95394	1.0	1.0	2L	94739	102086	FBgn0031216	Zir	FBtr0078103	Zir-RA	0
2L	101981	102981	1.0	1.0	2L	94739	102086	FBgn0031216	Zir	FBtr0078103	Zir-RA	0
2L	101981	102981	1.0	1.0	2L	102380	104142	FBgn0031217	CG11377	FBtr0078104	CG11377-RA	0
2L	106075	107075	1.0	1.0	2L	103962	106732	FBgn0026787	Nhe1	FBtr0301452	Nhe1-RB	0
2L	106075	107075	1.0	1.0	2L	106903	114432	FBgn0005278	Sam-S	FBtr0089430	Sam-S-RD	0
2L	108239	109239	1.0	1.0	2L	106903	114432	FBgn0005278	Sam-S	FBtr0089430	Sam-S-RD	0
2L	114217	115217	1.0	1.0	2L	106903	114432	FBgn0005278	Sam-S	FBtr0089430	Sam-S-RD	0
