Chromosome,Start,End,label_head,label_testis,Nearest_Chromosome,Nearest_Start,Nearest_End,dmel_denovo_gene,dyak_ortho_gene,Strand,Distance
2L,15439,16439,1.0,1.0,2L,321971,326028,FBgn0264086,GE16195,-,-305533
2L,23000,24000,0.0,0.0,2L,321971,326028,FBgn0264086,GE16195,-,-297972
2L,29000,30000,0.0,0.0,2L,321971,326028,FBgn0264086,GE16195,-,-291972
2L,34000,35000,0.0,0.0,2L,321971,326028,FBgn0264086,GE16195,-,-286972
2L,39000,40000,0.0,0.0,2L,321971,326028,FBgn0264086,GE16195,-,-281972
2L,40000,41000,0.0,0.0,2L,321971,326028,FBgn0264086,GE16195,-,-280972
2L,43000,44000,0.0,0.0,2L,321971,326028,FBgn0264086,GE16195,-,-277972
2L,66000,67000,0.0,0.0,2L,321971,326028,FBgn0264086,GE16195,-,-254972
2L,67000,68000,0.0,0.0,2L,321971,326028,FBgn0264086,GE16195,-,-253972
2L,70238,71238,0.0,1.0,2L,321971,326028,FBgn0264086,GE16195,-,-250734
2L,98963,99963,0.0,1.0,2L,321971,326028,FBgn0264086,GE16195,-,-222009
2L,100000,101000,0.0,0.0,2L,321971,326028,FBgn0264086,GE16195,-,-220972
2L,104000,105000,0.0,0.0,2L,321971,326028,FBgn0264086,GE16195,-,-216972
2L,122000,123000,0.0,0.0,2L,321971,326028,FBgn0264086,GE16195,-,-198972
2L,134000,135000,0.0,0.0,2L,321971,326028,FBgn0264086,GE16195,-,-186972
2L,140000,141000,0.0,0.0,2L,321971,326028,FBgn0264086,GE16195,-,-180972
2L,143000,144000,0.0,0.0,2L,321971,326028,FBgn0264086,GE16195,-,-177972
2L,155756,156756,1.0,1.0,2L,321971,326028,FBgn0264086,GE16195,-,-165216
2L,160000,161000,0.0,0.0,2L,321971,326028,FBgn0264086,GE16195,-,-160972
2L,161331,162331,0.0,1.0,2L,321971,326028,FBgn0264086,GE16195,-,-159641
2L,168281,169281,0.0,1.0,2L,321971,326028,FBgn0264086,GE16195,-,-152691
2L,189216,190216,0.0,1.0,2L,321971,326028,FBgn0264086,GE16195,-,-131756
2L,195000,196000,0.0,0.0,2L,321971,326028,FBgn0264086,GE16195,-,-125972
2L,200000,201000,0.0,0.0,2L,321971,326028,FBgn0264086,GE16195,-,-120972
2L,204000,205000,0.0,0.0,2L,321971,326028,FBgn0264086,GE16195,-,-116972
2L,216988,217988,1.0,1.0,2L,321971,326028,FBgn0264086,GE16195,-,-103984
2L,220000,221000,0.0,0.0,2L,321971,326028,FBgn0264086,GE16195,-,-100972
2L,223000,224000,0.0,0.0,2L,321971,326028,FBgn0264086,GE16195,-,-97972
2L,226000,227000,0.0,0.0,2L,321971,326028,FBgn0264086,GE16195,-,-94972
