chrom,chromStart,chromEnd,name,mp,label1,label2,sim,yak,mel,correct,delta
2R,20787225.0,20788225.0,2057_peak_8253_merged,20787724.5,1,1,0.005081879,0.0025827312,0.5898568,True,0.5860245
2R,15455238.0,15456238.0,2057_peak_7094_head,15455737.5,1,0,0.15934947,0.24314538,0.7267795,True,0.5255321
2R,11059926.0,11060926.0,2057_peak_6096_head,11060425.5,1,0,0.9357997,0.0064846864,0.95360094,True,0.48245874
2R,22134853.0,22135853.0,2057_peak_8549_head,22135353.0,1,0,0.4553871,0.44568348,0.8717664,True,0.4212311
2R,22622329.0,22623329.0,2057_peak_8675_head,22622828.5,1,0,0.73433506,0.26895213,0.9201877,True,0.4185441
2R,16009125.0,16010125.0,2057_peak_7219_head,16009625.0,1,0,0.20377658,0.026168855,0.5220849,True,0.40711218
2R,22502763.0,22503763.0,2057_peak_8628_head,22503262.5,1,0,0.57940024,0.17635478,0.7848958,True,0.40701827
2R,19676396.0,19677396.0,2057_peak_8045_head,19676896.0,1,0,0.46804658,0.18761368,0.73440605,True,0.40657592
2R,13935921.0,13936921.0,2057_peak_6719_head,13936421.0,1,0,0.6614722,0.09924165,0.7584424,True,0.37808546
2R,14418889.0,14419889.0,2057_peak_6853_head,14419388.5,1,0,0.28461564,0.0702804,0.53652436,True,0.35907632
2R,10670837.0,10671837.0,2057_peak_6005_head,10671336.5,1,0,0.7950163,0.25747168,0.8836115,True,0.35736752
2R,24681299.0,24682299.0,2057_peak_9125_head,24681798.5,1,0,0.6482321,0.37645975,0.860993,True,0.34864712
2R,16489656.0,16490656.0,2057_peak_7322_head,16490156.0,1,0,0.7474588,0.07185831,0.7543395,True,0.34468096
2R,17280781.0,17281781.0,2057_peak_7523_head,17281281.0,1,0,0.12726,0.10618477,0.43192664,True,0.31520426
2R,11144690.0,11145690.0,2057_peak_6114_head,11145190.0,1,0,0.17891094,0.0052280105,0.39471048,True,0.302641
2R,12744340.0,12745340.0,2057_peak_6461_head,12744839.5,1,0,0.3947996,0.4234933,0.71062374,True,0.3014773
2R,12591898.0,12592898.0,2057_peak_6418_head,12592398.0,1,0,0.29764116,0.29406488,0.58871406,True,0.29286104
2R,20800775.0,20801775.0,2057_peak_8255_head,20801275.0,1,0,0.23826323,0.34731877,0.5783797,True,0.28558868
2R,14446510.0,14447510.0,2057_peak_6861_head,14447010.0,1,0,0.46022958,0.5642135,0.7953609,True,0.28313935
2R,18378485.0,18379485.0,2057_peak_7755_head,18378985.0,1,0,0.016335486,0.09844915,0.33685663,True,0.2794643
2R,22434024.0,22435024.0,2057_peak_8616_head,22434523.5,1,0,0.2810497,0.34268865,0.5847339,True,0.27286473
2R,22007824.0,22008824.0,2057_peak_8517_head,22008324.0,1,0,0.64209527,0.21000876,0.67033625,True,0.24428424
2R,10748319.0,10749319.0,2057_peak_6024_head,10748819.0,1,0,0.089777164,0.07123564,0.32129952,True,0.24079312
2R,20468244.0,20469244.0,2057_peak_8190_head,20468743.5,1,0,0.47022858,0.28874108,0.61862755,True,0.23914272
2R,13675822.0,13676822.0,2057_peak_6672_head,13676322.0,1,0,0.34548283,0.009971861,0.41404632,True,0.23631898
2R,16893744.0,16894744.0,2057_peak_7433_head,16894244.0,1,0,0.50557745,0.1793766,0.5756397,True,0.2331627
2R,11533922.0,11534922.0,2057_peak_6189_head,11534421.5,1,0,0.7390413,0.40312442,0.8019577,True,0.23087484
2R,17940470.0,17941470.0,2057_peak_7668_head,17940970.0,1,0,0.036546826,0.01011941,0.25206062,True,0.2287275
