chrom,chromStart,chromEnd,name,mp,label1,label2,sim,yak,mel,correct,delta
3L,14267061.0,14268061.0,2057_peak_12394_merged,14267560.5,1,1,0.0064731273,0.00045199113,0.9774884,True,0.97402585
3L,8238180.0,8239180.0,2057_peak_11096_merged,8238680.0,1,1,0.010455446,0.02372604,0.7306607,True,0.71356994
3L,12931473.0,12932473.0,2057_peak_12162_head,12931973.0,1,0,0.1709772,0.14185166,0.7151677,True,0.55875325
3L,15178044.0,15179044.0,2057_peak_12590_head,15178544.0,1,0,0.13492912,0.058992572,0.6490262,True,0.5520654
3L,10141195.0,10142195.0,2057_peak_11509_head,10141694.5,1,0,0.45877117,0.052883707,0.7585726,True,0.50274515
3L,13107256.0,13108256.0,2057_peak_12191_head,13107756.0,1,0,0.5060459,0.28967166,0.8129338,True,0.41507503
3L,17250911.0,17251911.0,2057_peak_13054_head,17251411.0,1,0,0.03174796,0.3647009,0.60594547,True,0.40772104
3L,6553369.0,6554369.0,2057_peak_10746_head,6553869.0,1,0,0.32373962,0.18084186,0.64948964,True,0.39719892
3L,14889607.0,14890607.0,2057_peak_12523_head,14890106.5,1,0,0.09320049,0.0066054286,0.3961343,True,0.34623134
3L,6701523.0,6702523.0,2057_peak_10772_head,6702022.5,1,0,0.2966047,0.23767775,0.6131853,True,0.34604406
3L,4545138.0,4546138.0,2057_peak_10348_head,4545637.5,1,0,0.43276805,0.18090887,0.64710116,True,0.3402627
3L,5713210.0,5714210.0,2057_peak_10589_head,5713709.5,1,0,0.15980014,0.11375314,0.4295069,True,0.29273027
3L,12220507.0,12221507.0,2057_peak_12040_head,12221007.0,1,0,0.1479987,0.07673983,0.39733613,True,0.28496686
3L,5508930.0,5509930.0,2057_peak_10537_head,5509430.0,1,0,0.3387855,0.29891837,0.5960526,True,0.27720064
3L,12171234.0,12172234.0,2057_peak_12026_head,12171734.0,1,0,0.33614868,0.52014905,0.69754636,True,0.2693975
3L,2426818.0,2427818.0,2057_peak_9845_head,2427318.0,1,0,0.6737762,0.6925714,0.94152707,True,0.2583533
