chrom,chromStart,chromEnd,name,mp,label1,label2,sim,mel,yak,correct,delta
2L,13993372.0,13994372.0,Ta18_peak_3031_merged,13993871.5,1,1,0.011832317,0.015897878,0.795116,True,0.7812509
2L,6428668.0,6429668.0,Ta18_peak_1422_head,6429167.5,1,0,0.14369263,0.18902059,0.8733194,True,0.70696276
2L,1940551.0,1941551.0,Ta18_peak_469_head,1941050.5,1,0,0.051741056,0.19980031,0.7922436,True,0.6664729
2L,19006004.0,19007004.0,Ta18_peak_4212_merged,19006503.5,1,1,0.05354163,0.21566138,0.77818257,True,0.64358103
2L,7192706.0,7193706.0,Ta18_peak_1584_head,7193206.0,1,0,0.23586664,0.10545479,0.77744526,True,0.6067846
2L,7333532.0,7334532.0,Ta18_peak_1602_head,7334031.5,1,0,0.11549066,0.15190999,0.6681198,True,0.5344195
2L,9213945.0,9214945.0,Ta18_peak_1966_head,9214445.0,1,0,0.3561802,0.15471281,0.78717107,True,0.5317246
2L,8039951.0,8040951.0,Ta18_peak_1732_head,8040450.5,1,0,0.19166106,0.092088185,0.6174231,True,0.4755485
2L,2077916.0,2078916.0,Ta18_peak_497_head,2078415.5,1,0,0.189155,0.38428074,0.7443377,True,0.45761982
2L,5776563.0,5777563.0,Ta18_peak_1287_head,5777062.5,1,0,0.29565957,0.3660461,0.7869455,True,0.4560927
2L,6762903.0,6763903.0,Ta18_peak_1480_head,6763402.5,1,0,0.6158313,0.26423487,0.8441497,True,0.40411663
2L,5222015.0,5223015.0,Ta18_peak_1142_head,5222515.0,1,0,0.105618976,0.060310487,0.4495654,True,0.3666007
2L,8236595.0,8237595.0,Ta18_peak_1763_head,8237094.5,1,0,0.3093572,0.59586746,0.804807,True,0.35219467
2L,5221137.0,5222137.0,Ta18_peak_1141_head,5221636.5,1,0,0.46579546,0.28962693,0.7203496,True,0.34263843
2L,19125117.0,19126117.0,Ta18_peak_4247_head,19125616.5,1,0,0.07955338,0.07784905,0.40916398,True,0.33046275
2L,8205093.0,8206093.0,Ta18_peak_1755_head,8205592.5,1,0,0.2973795,0.41489995,0.6510896,True,0.2949499
2L,1825894.0,1826894.0,Ta18_peak_429_head,1826393.5,1,0,0.49601445,0.45220584,0.7656995,True,0.29158938
2L,6964312.0,6965312.0,Ta18_peak_1535_head,6964811.5,1,0,0.1187216,0.3088021,0.50111276,True,0.2873509
2L,10662770.0,10663770.0,Ta18_peak_2304_head,10663270.0,1,0,0.33314934,0.2915492,0.5947824,True,0.28243315
2L,5412405.0,5413405.0,Ta18_peak_1204_head,5412904.5,1,0,0.0069947015,0.015660055,0.2510937,True,0.2397663
2L,5891581.0,5892581.0,Ta18_peak_1310_head,5892081.0,1,0,0.2928315,0.15230107,0.4619837,True,0.23941742
2L,3236830.0,3237830.0,Ta18_peak_765_head,3237329.5,1,0,0.5032608,0.42379242,0.7012943,True,0.2377677
2L,4715198.0,4716198.0,Ta18_peak_1034_head,4715697.5,1,0,0.71358794,0.5751122,0.8704235,True,0.22607344
2L,9769652.0,9770652.0,Ta18_peak_2099_head,9770152.0,1,0,0.43355462,0.16356073,0.5154515,True,0.21689382
2L,12186487.0,12187487.0,Ta18_peak_2638_head,12186986.5,1,0,0.24682066,0.2679555,0.4724884,True,0.21510032
2L,5328983.0,5329983.0,Ta18_peak_1170_head,5329483.0,1,0,0.07987874,0.17120127,0.3378858,True,0.2123458
2L,11978844.0,11979844.0,Ta18_peak_2583_head,11979344.0,1,0,0.13154663,0.08305463,0.30749267,True,0.20019203
2L,2248174.0,2249174.0,Ta18_peak_542_head,2248674.0,1,0,0.7772412,0.30527344,0.73876274,False,0.19750541
2L,5501840.0,5502840.0,Ta18_peak_1230_head,5502340.0,1,0,0.6973181,0.42130974,0.7492547,True,0.18994081
2L,472028.0,473028.0,Ta18_peak_129_merged,472527.5,1,1,0.39422923,0.37483644,0.5695258,True,0.18499294
2L,9521663.0,9522663.0,Ta18_peak_2041_merged,9522163.0,1,1,0.24044113,0.13261771,0.35998005,True,0.17345062
2L,1851165.0,1852165.0,Ta18_peak_434_head,1851664.5,1,0,0.6267368,0.7568816,0.8643847,True,0.17257553
2L,5294436.0,5295436.0,Ta18_peak_1157_head,5294935.5,1,0,0.08577853,0.08542079,0.24902646,True,0.1634268
2L,4246283.0,4247283.0,Ta18_peak_935_head,4246782.5,1,0,0.53689677,0.6911905,0.7730896,True,0.159046
2L,9469584.0,9470584.0,Ta18_peak_2014_merged,9470083.5,1,1,0.19040157,0.14945324,0.32084456,True,0.15091716
2L,4764762.0,4765762.0,Ta18_peak_1045_head,4765262.0,1,0,0.52578634,0.52331746,0.6743574,True,0.14980555
2L,8534477.0,8535477.0,Ta18_peak_1836_head,8534976.5,1,0,0.34596282,0.26754254,0.44697028,True,0.1402176
2L,6829336.0,6830336.0,Ta18_peak_1497_head,6829836.0,1,0,0.6940409,0.5720503,0.76701474,True,0.13396919
2L,8261680.0,8262680.0,Ta18_peak_1766_merged,8262179.5,1,1,0.10113842,0.24835525,0.30186886,True,0.12712201
2L,4754867.0,4755867.0,Ta18_peak_1042_head,4755367.0,1,0,0.10232423,0.2101382,0.28092772,True,0.12469649
2L,2325084.0,2326084.0,Ta18_peak_562_head,2325584.0,1,0,0.14804493,0.22730827,0.30884737,True,0.12117076
2L,19384952.0,19385952.0,Ta18_peak_4270_head,19385452.0,1,0,0.5369225,0.49967095,0.63357174,True,0.115275025
2L,11911164.0,11912164.0,Ta18_peak_2567_head,11911663.5,1,0,0.6929582,0.9258835,0.92286634,False,0.11344552
2L,1209987.0,1210987.0,Ta18_peak_310_head,1210486.5,1,0,0.06871025,0.0112047205,0.15216781,True,0.112210326
2L,1245246.0,1246246.0,Ta18_peak_319_head,1245745.5,1,0,0.3742451,0.50762814,0.55121654,True,0.11027992
2L,2045398.0,2046398.0,Ta18_peak_493_head,2045897.5,1,0,0.86246014,0.7005604,0.8896955,True,0.10818529
2L,1709445.0,1710445.0,Ta18_peak_413_merged,1709945.0,1,1,0.12238759,0.053804062,0.19108614,True,0.102990314
2L,2999104.0,3000104.0,Ta18_peak_710_head,2999603.5,1,0,0.04796308,0.13477129,0.1920882,True,0.10072102
2L,811307.0,812307.0,Ta18_peak_187_merged,811806.5,1,1,0.42780638,0.24747352,0.43595338,True,0.09831342
2L,20210819.0,20211819.0,Ta18_peak_4365_head,20211319.0,1,0,0.113332994,0.24597795,0.27708143,True,0.09742595
2L,20293056.0,20294056.0,Ta18_peak_4374_head,20293555.5,1,0,0.53138745,0.5130162,0.61449975,True,0.09229791
2L,5322968.0,5323968.0,Ta18_peak_1168_merged,5323467.5,1,1,0.07803843,0.016916046,0.13719046,True,0.08971322
2L,20170938.0,20171938.0,Ta18_peak_4359_head,20171438.0,1,0,0.836521,0.7198163,0.86593103,True,0.087762356
2L,513277.0,514277.0,Ta18_peak_143_head,513777.0,1,0,0.24040909,0.2206086,0.31787455,True,0.0873657
2L,10077237.0,10078237.0,Ta18_peak_2164_head,10077736.5,1,0,0.39479312,0.7095461,0.63907135,False,0.086901724
2L,10595708.0,10596708.0,Ta18_peak_2276_head,10596208.0,1,0,0.059550587,0.052872293,0.13976295,True,0.08355151
2L,3178674.0,3179674.0,Ta18_peak_759_head,3179173.5,1,0,0.7197165,0.64090323,0.75969803,True,0.07938814
2L,1071421.0,1072421.0,Ta18_peak_263_merged,1071920.5,1,1,0.39772063,0.2914594,0.42217335,True,0.07758334
2L,3418406.0,3419406.0,Ta18_peak_794_head,3418906.0,1,0,0.16149019,0.09929663,0.20699589,True,0.076602474
2L,19510645.0,19511645.0,Ta18_peak_4281_head,19511144.5,1,0,0.7827582,0.8223366,0.87868875,True,0.07614136
2L,5144481.0,5145481.0,Ta18_peak_1128_head,5144981.0,1,0,0.13749747,0.041454986,0.1643154,True,0.074839175
2L,12639327.0,12640327.0,Ta18_peak_2759_merged,12639826.5,1,1,0.11881908,0.14142546,0.19653179,True,0.06640951
2L,4715663.0,4716663.0,Ta18_peak_1035_head,4716163.0,1,0,0.55358094,0.41746688,0.54706925,False,0.061545342
2L,15094188.0,15095188.0,Ta18_peak_3255_head,15094687.5,1,0,0.41880512,0.18031135,0.35841227,False,0.058854043
2L,5813171.0,5814171.0,Ta18_peak_1293_merged,5813670.5,1,1,0.344441,0.14947206,0.30427146,False,0.057314932
2L,7600044.0,7601044.0,Ta18_peak_1662_head,7600544.0,1,0,0.90095854,0.84496176,0.9292887,True,0.056328535
2L,3165945.0,3166945.0,Ta18_peak_757_head,3166445.0,1,0,0.15370254,0.31704897,0.28704014,False,0.051664382
2L,343236.0,344236.0,Ta18_peak_93_head,343735.5,1,0,0.15596753,0.2545392,0.25575998,True,0.05050662
2L,1290424.0,1291424.0,Ta18_peak_323_head,1290923.5,1,0,0.06317114,0.05764917,0.11066262,True,0.05025246
2L,11244223.0,11245223.0,Ta18_peak_2453_head,11244723.0,1,0,0.1153425,0.04339909,0.12886204,True,0.04949124
2L,1731581.0,1732581.0,Ta18_peak_419_head,1732080.5,1,0,0.62297827,0.6258288,0.67216307,True,0.047759533
2L,13052015.0,13053015.0,Ta18_peak_2828_head,13052515.0,1,0,0.06299039,0.071099445,0.113221325,True,0.04617641
2L,1030671.0,1031671.0,Ta18_peak_245_head,1031171.0,1,0,0.03662286,0.056522474,0.09044153,True,0.043868866
2L,11275218.0,11276218.0,Ta18_peak_2462_head,11275718.0,1,0,0.65957004,0.8034728,0.77383614,False,0.04231471
2L,13994219.0,13995219.0,Ta18_peak_3032_merged,13994719.0,1,1,0.011849798,0.0026334168,0.04922634,True,0.041984733
2L,6325720.0,6326720.0,Ta18_peak_1393_head,6326219.5,1,0,0.41015667,0.1821355,0.33658034,False,0.04043424
2L,12427507.0,12428507.0,Ta18_peak_2705_head,12428006.5,1,0,0.7747429,0.63325924,0.7438888,False,0.039887726
2L,5457824.0,5458824.0,Ta18_peak_1210_head,5458324.0,1,0,0.0796548,0.011084698,0.081952535,True,0.036582787
2L,8828949.0,8829949.0,Ta18_peak_1885_merged,8829449.0,1,1,0.93536407,0.93775344,0.9715839,True,0.03502518
2L,5519638.0,5520638.0,Ta18_peak_1234_head,5520138.0,1,0,0.0068465495,0.005236047,0.03466478,True,0.028623482
2L,7574940.0,7575940.0,Ta18_peak_1658_head,7575440.0,1,0,0.013260759,0.012165871,0.04114364,True,0.028430326
2L,14295891.0,14296891.0,Ta18_peak_3094_head,14296390.5,1,0,0.04406153,0.054000825,0.07274827,True,0.023717098
2L,14078170.0,14079170.0,Ta18_peak_3045_merged,14078670.0,1,1,0.041180577,0.018722666,0.05090783,True,0.02095621
2L,3923235.0,3924235.0,Ta18_peak_889_head,3923734.5,1,0,0.9510311,0.95781225,0.9710005,True,0.016578853
2L,8058002.0,8059002.0,Ta18_peak_1735_merged,8058501.5,1,1,0.04672154,0.023012599,0.047944162,True,0.013077091
2L,11288735.0,11289735.0,Ta18_peak_2466_head,11289235.0,1,0,0.6442129,0.78227544,0.72484815,False,0.011603951
2L,3929359.0,3930359.0,Ta18_peak_890_head,3929859.0,1,0,0.19485809,0.16484302,0.18862306,False,0.008772507
2L,5385620.0,5386620.0,Ta18_peak_1193_head,5386120.0,1,0,0.03281141,0.020523407,0.033134837,True,0.006467428
2L,5788518.0,5789518.0,Ta18_peak_1289_head,5789018.0,1,0,0.043321203,0.036557198,0.0457247,True,0.005785499
2L,19067334.0,19068334.0,Ta18_peak_4233_head,19067834.0,1,0,0.6869668,0.57368714,0.6347477,False,0.0044206977
2L,14259603.0,14260603.0,Ta18_peak_3084_merged,14260102.5,1,1,0.03503439,0.059256125,0.050693225,False,0.0035479702
2L,3220354.0,3221354.0,Ta18_peak_761_head,3220854.0,1,0,0.0014174687,0.010228109,0.007579569,False,0.0017567803
2L,14284690.0,14285690.0,Ta18_peak_3087_head,14285189.5,1,0,0.06307982,0.043680184,0.054941535,False,0.0015615337
2L,7296862.0,7297862.0,Ta18_peak_1598_head,7297361.5,1,0,0.21395227,0.07447692,0.14322498,False,-0.0009896159
2L,18998348.0,18999348.0,Ta18_peak_4209_head,18998847.5,1,0,0.049583256,0.017635092,0.032419313,False,-0.0011898614
2L,9999538.0,10000538.0,Ta18_peak_2150_head,10000038.0,1,0,0.083259776,0.7469199,0.4130644,False,-0.0020254254
2L,11391724.0,11392724.0,Ta18_peak_2488_head,11392223.5,1,0,0.2149879,0.3867981,0.29735556,False,-0.0035374463
2L,13622155.0,13623155.0,Ta18_peak_2963_head,13622654.5,1,0,0.2351122,0.28527743,0.25660917,False,-0.0035856366
2L,13010078.0,13011078.0,Ta18_peak_2818_merged,13010577.5,1,1,0.26885045,0.12459006,0.18916018,False,-0.0075600743
2L,8907614.0,8908614.0,Ta18_peak_1906_head,8908113.5,1,0,0.0606982,0.024494138,0.02556232,False,-0.017033849
2L,2401514.0,2402514.0,Ta18_peak_573_head,2402014.0,1,0,0.0659305,0.14493138,0.08806792,False,-0.01736302
2L,12200991.0,12201991.0,Ta18_peak_2642_merged,12201490.5,1,1,0.3166685,0.39163575,0.33089286,False,-0.023259282
2L,5459751.0,5460751.0,Ta18_peak_1211_head,5460250.5,1,0,0.092018254,0.045042876,0.044585254,False,-0.023945313
2L,8885101.0,8886101.0,Ta18_peak_1897_merged,8885601.0,1,1,0.020869493,0.20546463,0.08820926,False,-0.024957806
2L,1220277.0,1221277.0,Ta18_peak_313_merged,1220776.5,1,1,0.08029288,0.11689128,0.07081415,False,-0.027777933
2L,13355670.0,13356670.0,Ta18_peak_2911_head,13356169.5,1,0,0.097940676,0.28445393,0.16299215,False,-0.028205156
2L,4084011.0,4085011.0,Ta18_peak_909_merged,4084511.0,1,1,0.09775555,0.11662188,0.0784457,False,-0.028743014
2L,5523944.0,5524944.0,Ta18_peak_1236_head,5524443.5,1,0,0.031173088,0.06610844,0.019592756,False,-0.029048009
2L,7085411.0,7086411.0,Ta18_peak_1555_head,7085911.0,1,0,0.023666846,0.10756841,0.03427665,False,-0.03134098
2L,19429951.0,19430951.0,Ta18_peak_4277_head,19430451.0,1,0,0.4720642,0.5207258,0.46483812,False,-0.031556875
2L,19803347.0,19804347.0,Ta18_peak_4324_head,19803847.0,1,0,0.433235,0.41738728,0.38079268,False,-0.04451847
2L,6404590.0,6405590.0,Ta18_peak_1415_head,6405089.5,1,0,0.8175901,0.5706191,0.6491341,False,-0.044970512
2L,208655.0,209655.0,Ta18_peak_47_merged,209154.5,1,1,0.2640284,0.17405783,0.1704134,False,-0.0486297
2L,12185758.0,12186758.0,Ta18_peak_2637_head,12186258.0,1,0,0.03699925,0.12457631,0.031416617,False,-0.04937116
2L,13085398.0,13086398.0,Ta18_peak_2837_head,13085897.5,1,0,0.05468217,0.07422886,0.014104567,False,-0.05035095
2L,4455976.0,4456976.0,Ta18_peak_992_head,4456476.0,1,0,0.610967,0.7432416,0.62329805,False,-0.053806245
2L,9930416.0,9931416.0,Ta18_peak_2131_head,9930916.0,1,0,0.6460447,0.58008224,0.55802745,False,-0.05503601
2L,782402.0,783402.0,Ta18_peak_179_head,782902.0,1,0,0.18251023,0.07247504,0.049122736,False,-0.0783699
2L,7962592.0,7963592.0,Ta18_peak_1720_head,7963092.0,1,0,0.26811683,0.15543272,0.13028678,False,-0.08148798
2L,12640952.0,12641952.0,Ta18_peak_2760_head,12641452.0,1,0,0.7455046,0.7369156,0.65767956,False,-0.083530545
2L,1240064.0,1241064.0,Ta18_peak_317_head,1240563.5,1,0,0.5680168,0.63703614,0.513548,False,-0.08897847
2L,3144264.0,3145264.0,Ta18_peak_748_head,3144764.0,1,0,0.16110548,0.32626557,0.15200765,False,-0.091677874
2L,19382030.0,19383030.0,Ta18_peak_4268_head,19382529.5,1,0,0.76115507,0.50364697,0.529455,False,-0.10294598
2L,6560628.0,6561628.0,Ta18_peak_1450_head,6561127.5,1,0,0.38688716,0.5056913,0.3308291,False,-0.11546013
2L,5809572.0,5810572.0,Ta18_peak_1291_head,5810071.5,1,0,0.4704403,0.38678256,0.30471075,False,-0.12390068
2L,8682898.0,8683898.0,Ta18_peak_1860_head,8683398.0,1,0,0.6406396,0.3336974,0.36126304,False,-0.12590545
2L,8815715.0,8816715.0,Ta18_peak_1880_merged,8816215.0,1,1,0.21435459,0.54343694,0.25257137,False,-0.12632439
2L,14979402.0,14980402.0,Ta18_peak_3242_head,14979901.5,1,0,0.60259277,0.41244203,0.38051698,False,-0.12700042
2L,14249555.0,14250555.0,Ta18_peak_3079_merged,14250054.5,1,1,0.33188328,0.29048434,0.18149766,False,-0.12968615
2L,14224876.0,14225876.0,Ta18_peak_3072_head,14225375.5,1,0,0.69578487,0.80374587,0.61835825,False,-0.13140714
2L,13612662.0,13613662.0,Ta18_peak_2962_head,13613161.5,1,0,0.35285985,0.4401439,0.22222479,False,-0.17427711
2L,2694086.0,2695086.0,Ta18_peak_616_head,2694586.0,1,0,0.3761284,0.21776213,0.11809338,False,-0.1788519
2L,19383313.0,19384313.0,Ta18_peak_4269_head,19383813.0,1,0,0.72683686,0.82878643,0.44944805,False,-0.3283636
2R,2001526.0,2002526.0,Ta18_peak_4819_merged,2002026.0,1,1,0.2365119,0.1386393,0.92056316,True,0.7329875
2R,13033521.0,13034521.0,Ta18_peak_7276_merged,13034021.0,1,1,0.3319999,0.18867378,0.9592033,True,0.6988665
2R,7711550.0,7712550.0,Ta18_peak_6093_head,7712049.5,1,0,0.14962675,0.24917458,0.8261429,True,0.62674224
2R,14652213.0,14653213.0,Ta18_peak_7592_head,14652712.5,1,0,0.2667268,0.18461737,0.81370765,True,0.5880356
2R,8986898.0,8987898.0,Ta18_peak_6379_head,8987397.5,1,0,0.07205814,0.46670014,0.8178295,True,0.54845035
