chrom,chromStart,chromEnd,name,mp,label1,label2,sim,mel,yak,correct,delta
2R,2001526.0,2002526.0,Ta18_peak_4819_merged,2002026.0,1,1,0.2365119,0.1386393,0.92056316,True,0.7329875
2R,13033521.0,13034521.0,Ta18_peak_7276_merged,13034021.0,1,1,0.3319999,0.18867378,0.9592033,True,0.6988665
2R,7711550.0,7712550.0,Ta18_peak_6093_head,7712049.5,1,0,0.14962675,0.24917458,0.8261429,True,0.62674224
2R,14652213.0,14653213.0,Ta18_peak_7592_head,14652712.5,1,0,0.2667268,0.18461737,0.81370765,True,0.5880356
2R,8986898.0,8987898.0,Ta18_peak_6379_head,8987397.5,1,0,0.07205814,0.46670014,0.8178295,True,0.54845035
2R,17239966.0,17240966.0,Ta18_peak_8210_merged,17240466.0,1,1,0.20830716,0.36682653,0.82873213,True,0.5411653
2R,7945798.0,7946798.0,Ta18_peak_6144_head,7946298.0,1,0,0.19871153,0.16863023,0.69117707,True,0.5075062
2R,12101045.0,12102045.0,Ta18_peak_7094_head,12101545.0,1,0,0.36098462,0.6452785,0.94728786,True,0.4441563
2R,14413490.0,14414490.0,Ta18_peak_7533_head,14413989.5,1,0,0.30554312,0.3237807,0.75003916,True,0.43537724
2R,20971844.0,20972844.0,Ta18_peak_9093_merged,20972344.0,1,1,0.43765455,0.3761877,0.83167857,True,0.42475742
2R,18139449.0,18140449.0,Ta18_peak_8433_head,18139949.0,1,0,0.34444556,0.10731472,0.6405916,True,0.41471148
2R,15901645.0,15902645.0,Ta18_peak_7887_merged,15902145.0,1,1,0.042883597,0.01853563,0.4440178,True,0.41330817
2R,18181361.0,18182361.0,Ta18_peak_8446_head,18181861.0,1,0,0.23813783,0.08765461,0.55418867,True,0.39129245
2R,12893490.0,12894490.0,Ta18_peak_7253_head,12893989.5,1,0,0.08846749,0.13797367,0.49918202,True,0.38596144
2R,20488305.0,20489305.0,Ta18_peak_8962_head,20488804.5,1,0,0.39110953,0.20307025,0.681059,True,0.38396913
2R,7140810.0,7141810.0,Ta18_peak_5946_merged,7141310.0,1,1,0.31481063,0.28233904,0.6666715,True,0.36809668
2R,12468760.0,12469760.0,Ta18_peak_7182_head,12469260.0,1,0,0.08818915,0.09715855,0.458499,True,0.36582518
2R,11583348.0,11584348.0,Ta18_peak_6947_head,11583848.0,1,0,0.63288194,0.3201111,0.8415415,True,0.365045
2R,7364442.0,7365442.0,Ta18_peak_5992_head,7364942.0,1,0,0.18095882,0.3515614,0.6224708,True,0.35621068
2R,15218310.0,15219310.0,Ta18_peak_7742_head,15218809.5,1,0,0.20465825,0.13587464,0.5149057,True,0.34463924
2R,17935785.0,17936785.0,Ta18_peak_8382_merged,17936285.0,1,1,0.14297348,0.15263973,0.47297025,True,0.32516363
2R,7695848.0,7696848.0,Ta18_peak_6090_head,7696347.5,1,0,0.2498805,0.26234147,0.57153374,True,0.31542277
2R,14322548.0,14323548.0,Ta18_peak_7521_head,14323047.5,1,0,0.101324454,0.24353027,0.4859762,True,0.31354883
2R,2044632.0,2045632.0,Ta18_peak_4832_head,2045131.5,1,0,0.015955955,0.06096246,0.3423148,True,0.3038556
2R,18724489.0,18725489.0,Ta18_peak_8562_head,18724989.0,1,0,0.38038963,0.25841713,0.6224273,True,0.3030239
2R,14729167.0,14730167.0,Ta18_peak_7619_head,14729666.5,1,0,0.092105865,0.072694644,0.3777255,True,0.29532525
2R,2480166.0,2481166.0,Ta18_peak_4957_head,2480666.0,1,0,0.19975233,0.24487573,0.51754314,True,0.2952291
2R,18623560.0,18624560.0,Ta18_peak_8542_merged,18624060.0,1,1,0.16905084,0.124289915,0.44039294,True,0.29372257
2R,2520924.0,2521924.0,Ta18_peak_4977_head,2521423.5,1,0,0.054163445,0.16614573,0.39921206,True,0.2890575
2R,14569523.0,14570523.0,Ta18_peak_7571_head,14570023.0,1,0,0.17379072,0.07262826,0.4121398,True,0.2889303
2R,2047256.0,2048256.0,Ta18_peak_4833_merged,2047755.5,1,1,0.22716184,0.249578,0.5217746,True,0.28340468
2R,16013126.0,16014126.0,Ta18_peak_7931_head,16013626.0,1,0,0.026624229,0.026403692,0.29066008,True,0.26414612
2R,14507732.0,14508732.0,Ta18_peak_7555_head,14508231.5,1,0,0.24758741,0.27554145,0.5206218,True,0.25905734
