chrom,chromStart,chromEnd,name,mp,label1,label2,mel,yak,sim,correct,delta
X,7464252.0,7465252.0,w501_peak_26805_head,7464752.0,1,0,0.09240728,0.20073184,0.82355404,True,0.6769845
X,14026538.0,14027538.0,w501_peak_28219_head,14027038.0,1,0,0.11131874,0.33553052,0.7964579,True,0.5730333
X,6488220.0,6489220.0,w501_peak_26641_head,6488719.5,1,0,0.057293087,0.41073284,0.7978635,True,0.5638505
X,2951899.0,2952899.0,w501_peak_25907_head,2952399.0,1,0,0.30913904,0.2321302,0.7480055,True,0.4773709
X,17437274.0,17438274.0,w501_peak_28927_head,17437774.0,1,0,0.831815,0.1600864,0.9385376,True,0.4425869
X,520082.0,521082.0,w501_peak_25365_head,520582.0,1,0,0.22069727,0.37378076,0.72130644,True,0.42406744
X,3325859.0,3326859.0,w501_peak_25988_head,3326358.5,1,0,0.15533108,0.2292615,0.6119455,True,0.4196492
X,13692872.0,13693872.0,w501_peak_28164_head,13693371.5,1,0,0.40353394,0.10602559,0.67333794,True,0.41855818
X,17408380.0,17409380.0,w501_peak_28925_head,17408879.5,1,0,0.10542292,0.22494201,0.5800882,True,0.41490573
X,5623459.0,5624459.0,w501_peak_26430_head,5623959.0,1,0,0.4030734,0.05958089,0.6442672,True,0.41294006
X,2874889.0,2875889.0,w501_peak_25891_head,2875389.0,1,0,0.21607123,0.01520058,0.5163818,True,0.4007459
X,11525015.0,11526015.0,w501_peak_27684_head,11525515.0,1,0,0.10566391,0.085162684,0.49477878,True,0.39936548
X,1031487.0,1032487.0,w501_peak_25467_head,1031987.0,1,0,0.32785535,0.08601217,0.60268044,True,0.39574668
X,2744401.0,2745401.0,w501_peak_25862_head,2744901.0,1,0,0.58652055,0.45657337,0.9091297,True,0.38758272
X,11300755.0,11301755.0,w501_peak_27647_head,11301254.5,1,0,0.9763613,0.1842566,0.9617278,False,0.38141888
X,18109536.0,18110536.0,w501_peak_29087_head,18110036.0,1,0,0.6289826,0.22146517,0.80587685,True,0.38065296
X,9771984.0,9772984.0,w501_peak_27313_head,9772484.0,1,0,0.17621525,0.23814818,0.58413917,True,0.37695745
X,9376274.0,9377274.0,w501_peak_27223_head,9376773.5,1,0,0.08353839,0.36354458,0.58191234,True,0.35837084
X,17798129.0,17799129.0,w501_peak_29013_head,17798628.5,1,0,0.29274327,0.026228135,0.5136706,True,0.35418493
X,5877267.0,5878267.0,w501_peak_26496_head,5877767.0,1,0,0.20680867,0.19826415,0.55225986,True,0.34972346
X,20673323.0,20674323.0,w501_peak_29623_head,20673822.5,1,0,0.36064127,0.34413207,0.70167905,True,0.3492924
X,1999008.0,2000008.0,w501_peak_25697_merged,1999508.0,1,1,0.13124049,0.22836208,0.5243072,True,0.3445059
X,9984750.0,9985750.0,w501_peak_27360_head,9985249.5,1,0,0.34737182,0.23812002,0.6295804,True,0.33683446
X,13239878.0,13240878.0,w501_peak_28085_head,13240377.5,1,0,0.5813106,0.20991088,0.7318482,True,0.33623746
X,14745077.0,14746077.0,w501_peak_28379_merged,14745577.0,1,1,0.104568236,0.8162064,0.7953792,False,0.3349919
X,2464401.0,2465401.0,w501_peak_25818_head,2464901.0,1,0,0.2161644,0.47768614,0.68013006,True,0.3332048
X,18561153.0,18562153.0,w501_peak_29189_head,18561652.5,1,0,0.21369863,0.6506075,0.76488763,True,0.33273456
X,16964488.0,16965488.0,w501_peak_28799_head,16964988.0,1,0,0.2920543,0.2774462,0.616252,True,0.33150175
X,18794904.0,18795904.0,w501_peak_29253_head,18795404.0,1,0,0.29837114,0.38689613,0.6673226,True,0.32468894
X,2920905.0,2921905.0,w501_peak_25900_head,2921404.5,1,0,0.076210074,0.18832594,0.45364043,True,0.32137242
X,16765453.0,16766453.0,w501_peak_28758_head,16765952.5,1,0,0.1885205,0.20396371,0.5174609,True,0.3212188
X,1340556.0,1341556.0,w501_peak_25544_head,1341055.5,1,0,0.14499597,0.24435872,0.5132801,True,0.31860274
X,14314489.0,14315489.0,w501_peak_28271_head,14314988.5,1,0,0.69039357,0.2898508,0.8081527,True,0.31803048
X,10696571.0,10697571.0,w501_peak_27516_head,10697071.0,1,0,0.48683652,0.5086535,0.80534106,True,0.30759603
X,9063830.0,9064830.0,w501_peak_27162_head,9064329.5,1,0,0.50812566,0.3396119,0.7295325,True,0.3056637
X,13239377.0,13240377.0,w501_peak_28084_head,13239877.0,1,0,0.90679294,0.2631723,0.88271105,False,0.29772842
X,14580281.0,14581281.0,w501_peak_28341_head,14580780.5,1,0,0.84126306,0.1285601,0.77671313,False,0.29180157
X,370275.0,371275.0,w501_peak_25326_head,370774.5,1,0,0.6093568,0.07735729,0.62539715,True,0.2820401
X,18751681.0,18752681.0,w501_peak_29244_head,18752181.0,1,0,0.6834016,0.53998196,0.89349127,True,0.2817995
X,20568055.0,20569055.0,w501_peak_29604_head,20568555.0,1,0,0.51800585,0.608091,0.84258604,True,0.27953762
X,7485899.0,7486899.0,w501_peak_26811_head,7486399.0,1,0,0.36956292,0.1726866,0.54998225,True,0.27885747
X,582235.0,583235.0,w501_peak_25374_head,582734.5,1,0,0.6844637,0.26238593,0.75065714,True,0.27723235
X,17801774.0,17802774.0,w501_peak_29016_head,17802274.0,1,0,0.18523511,0.07226308,0.40320936,True,0.27446026
X,8406419.0,8407419.0,w501_peak_27004_head,8406919.0,1,0,0.4179384,0.7609779,0.8619858,True,0.27252764
X,4594796.0,4595796.0,w501_peak_26210_head,4595296.0,1,0,0.5871625,0.2615482,0.6940827,True,0.26972735
X,16485565.0,16486565.0,w501_peak_28691_head,16486064.5,1,0,0.36132035,0.27250996,0.5836293,True,0.26671416
X,3970107.0,3971107.0,w501_peak_26114_merged,3970606.5,1,1,0.002635493,0.002419546,0.2675919,True,0.2650644
X,16875712.0,16876712.0,w501_peak_28780_head,16876211.5,1,0,0.409525,0.5748562,0.754716,True,0.26252538
X,8385899.0,8386899.0,w501_peak_26998_head,8386398.5,1,0,0.67073846,0.079662174,0.6361598,False,0.26095945
X,517876.0,518876.0,w501_peak_25363_head,518376.0,1,0,0.6028234,0.43274233,0.7773119,True,0.25952905
X,18188088.0,18189088.0,w501_peak_29107_head,18188588.0,1,0,0.09774193,0.05355671,0.33516,True,0.25951067
X,5865290.0,5866290.0,w501_peak_26493_head,5865789.5,1,0,0.6451349,0.2952933,0.7283962,True,0.25818205
X,1596245.0,1597245.0,w501_peak_25594_head,1596745.0,1,0,0.43653533,0.22908948,0.5906925,True,0.25788012
X,14907984.0,14908984.0,w501_peak_28413_head,14908484.0,1,0,0.41893405,0.56537265,0.7478459,True,0.25569254
X,19690869.0,19691869.0,w501_peak_29411_head,19691369.0,1,0,0.119957596,0.3134774,0.47002554,True,0.25330806
X,12169257.0,12170257.0,w501_peak_27838_head,12169757.0,1,0,0.3671664,0.75906926,0.8161415,True,0.25302362
X,9459673.0,9460673.0,w501_peak_27234_head,9460173.0,1,0,0.12188878,0.16499111,0.3922389,True,0.24879894
X,19482908.0,19483908.0,w501_peak_29368_head,19483407.5,1,0,0.2764191,0.3282506,0.5473461,True,0.24501127
X,2852262.0,2853262.0,w501_peak_25888_head,2852761.5,1,0,0.5033597,0.71019304,0.85013074,True,0.24335438
X,7987696.0,7988696.0,w501_peak_26925_head,7988195.5,1,0,0.62621653,0.13053009,0.61868346,False,0.24031013
X,17821666.0,17822666.0,w501_peak_29022_merged,17822166.0,1,1,0.7359923,0.42180246,0.8151011,True,0.23620373
X,752073.0,753073.0,w501_peak_25403_head,752573.0,1,0,0.20699173,0.1299898,0.39905494,True,0.23056418
X,2691537.0,2692537.0,w501_peak_25856_head,2692037.0,1,0,0.8645031,0.4927073,0.90728724,True,0.22868204
X,4048303.0,4049303.0,w501_peak_26128_head,4048803.0,1,0,0.5543609,0.87948185,0.9451962,True,0.22827482
X,2373071.0,2374071.0,w501_peak_25796_head,2373570.5,1,0,0.22589897,0.07486923,0.37815398,True,0.22776988
X,17366738.0,17367738.0,w501_peak_28909_head,17367238.0,1,0,0.34482422,0.21892354,0.5094029,True,0.22752899
X,18157603.0,18158603.0,w501_peak_29095_head,18158102.5,1,0,0.33982256,0.36149895,0.5781503,True,0.22748953
X,4039373.0,4040373.0,w501_peak_26127_head,4039872.5,1,0,0.42138907,0.7604273,0.8181863,True,0.22727811
X,16726375.0,16727375.0,w501_peak_28748_head,16726875.0,1,0,0.5286666,0.2431935,0.6126628,True,0.22673273
X,8457239.0,8458239.0,w501_peak_27017_head,8457739.0,1,0,0.36040515,0.055350304,0.42421174,True,0.21633402
X,13724026.0,13725026.0,w501_peak_28167_head,13724526.0,1,0,0.09303119,0.07379392,0.2985688,True,0.21515623
X,9690700.0,9691700.0,w501_peak_27290_merged,9691199.5,1,1,0.22631763,0.10885532,0.38182402,True,0.21423754
X,9277019.0,9278019.0,w501_peak_27203_head,9277518.5,1,0,0.4072147,0.33399102,0.583836,True,0.21323317
X,2960423.0,2961423.0,w501_peak_25911_head,2960923.0,1,0,0.20183343,0.34260952,0.48320162,True,0.21098015
X,12122533.0,12123533.0,w501_peak_27815_head,12123033.0,1,0,0.64880484,0.48852572,0.776956,True,0.20829076
X,9670331.0,9671331.0,w501_peak_27283_head,9670831.0,1,0,0.07876782,0.036175516,0.2635972,True,0.20612553
X,8808189.0,8809189.0,w501_peak_27095_head,8808688.5,1,0,0.77760434,0.7215796,0.95167816,True,0.20208621
X,14125757.0,14126757.0,w501_peak_28245_head,14126256.5,1,0,0.30692372,0.2750384,0.49083582,True,0.19985476
X,10837478.0,10838478.0,w501_peak_27551_head,10837978.0,1,0,0.44022542,0.42551947,0.6294603,True,0.19658783
X,6147329.0,6148329.0,w501_peak_26541_head,6147829.0,1,0,0.22466138,0.34437743,0.4804627,True,0.1959433
X,14114578.0,14115578.0,w501_peak_28241_head,14115077.5,1,0,0.15136944,0.59126836,0.56601834,False,0.19469944
X,12711767.0,12712767.0,w501_peak_27957_head,12712266.5,1,0,0.68631345,0.7117771,0.8916153,True,0.19256997
X,11716739.0,11717739.0,w501_peak_27709_head,11717239.0,1,0,0.40918258,0.5740527,0.6824138,True,0.1907962
X,5970331.0,5971331.0,w501_peak_26508_head,5970831.0,1,0,0.15411961,0.5875481,0.5610546,False,0.19022074
X,4502688.0,4503688.0,w501_peak_26204_merged,4503188.0,1,1,0.23537049,0.011675753,0.3117432,True,0.18822008
X,12755872.0,12756872.0,w501_peak_27965_head,12756372.0,1,0,0.105962835,0.057641905,0.2683026,True,0.18650022
X,17200499.0,17201499.0,w501_peak_28871_head,17200999.0,1,0,0.72400033,0.44913724,0.7717982,True,0.18522942
X,1239152.0,1240152.0,w501_peak_25519_merged,1239651.5,1,1,0.031614993,8.234083e-05,0.19930023,True,0.18345156
X,5227755.0,5228755.0,w501_peak_26347_head,5228254.5,1,0,0.39436755,0.449069,0.60337317,True,0.1816549
X,18212124.0,18213124.0,w501_peak_29113_head,18212624.0,1,0,0.5907982,0.29029045,0.6215153,True,0.18097097
X,16902086.0,16903086.0,w501_peak_28787_head,16902586.0,1,0,0.04183499,0.21242352,0.30424905,True,0.17711979
X,8645324.0,8646324.0,w501_peak_27060_merged,8645823.5,1,1,0.008593225,0.0035569612,0.17749852,True,0.17142342
X,18708943.0,18709943.0,w501_peak_29237_head,18709442.5,1,0,0.14483944,0.16068149,0.32190612,True,0.16914566
X,13301884.0,13302884.0,w501_peak_28096_head,13302384.0,1,0,0.5380223,0.5393642,0.70725083,True,0.16855758
X,12127532.0,12128532.0,w501_peak_27817_head,12128032.0,1,0,0.46273184,0.13473505,0.46704102,True,0.16830757
X,9391553.0,9392553.0,w501_peak_27228_head,9392052.5,1,0,0.63008666,0.60108876,0.7826067,True,0.16701901
X,10806848.0,10807848.0,w501_peak_27542_head,10807347.5,1,0,0.3917829,0.20074238,0.46272314,True,0.16646048
X,12132960.0,12133960.0,w501_peak_27819_head,12133460.0,1,0,0.77243084,0.67255074,0.8875291,True,0.16503829
X,3857541.0,3858541.0,w501_peak_26085_head,3858040.5,1,0,0.5422494,0.24814737,0.55915654,True,0.16395816
X,666344.0,667344.0,w501_peak_25387_head,666844.0,1,0,0.20024051,0.103460886,0.31510887,True,0.16325817
X,7743391.0,7744391.0,w501_peak_26875_head,7743890.5,1,0,0.9071465,0.7268375,0.9788967,True,0.16190463
X,1194097.0,1195097.0,w501_peak_25508_head,1194596.5,1,0,0.42046744,0.13485603,0.43411058,True,0.15644884
X,8498979.0,8499979.0,w501_peak_27030_head,8499479.0,1,0,0.13710307,0.14878395,0.29838508,True,0.15544158
X,5628189.0,5629189.0,w501_peak_26431_head,5628688.5,1,0,0.5485361,0.38984093,0.6244939,True,0.15530539
X,12187882.0,12188882.0,w501_peak_27840_head,12188382.0,1,0,0.44396323,0.3775452,0.5650453,True,0.1542911
X,3185689.0,3186689.0,w501_peak_25955_head,3186188.5,1,0,0.62313914,0.5073867,0.7187766,True,0.15351367
X,14240539.0,14241539.0,w501_peak_28262_head,14241038.5,1,0,0.12761824,0.07498041,0.25427818,True,0.15297887
X,4448329.0,4449329.0,w501_peak_26189_head,4448828.5,1,0,0.40687925,0.72221637,0.71737844,False,0.15283066
X,18523042.0,18524042.0,w501_peak_29180_head,18523541.5,1,0,0.16931114,0.2499292,0.36198384,True,0.15236366
X,13445724.0,13446724.0,w501_peak_28123_head,13446224.0,1,0,0.14359905,0.04944751,0.24833547,True,0.1518122
X,19822066.0,19823066.0,w501_peak_29448_head,19822566.0,1,0,0.100794315,0.009352877,0.20078315,True,0.14570954
X,11075809.0,11076809.0,w501_peak_27612_head,11076308.5,1,0,0.46389744,0.32609856,0.54001075,True,0.14501274
X,13119553.0,13120553.0,w501_peak_28054_head,13120052.5,1,0,0.4428482,0.50901157,0.6209267,True,0.14499679
X,1462106.0,1463106.0,w501_peak_25570_head,1462606.0,1,0,0.72437704,0.64692086,0.8290267,True,0.14337778
