Chromosome,Start,End,label_head,label_testis,Nearest_Chromosome,Nearest_Start,Nearest_End,Gene_ID,Distance
2L,2124,3124,1.0,1.0,2L,325522,329761,FBgn0264086,322399
2L,5251,6251,1.0,1.0,2L,325522,329761,FBgn0264086,319272
2L,16278,17278,1.0,0.0,2L,325522,329761,FBgn0264086,308245
2L,17912,18912,1.0,1.0,2L,325522,329761,FBgn0264086,306611
2L,19117,20117,1.0,0.0,2L,325522,329761,FBgn0264086,305406
2L,20749,21749,1.0,1.0,2L,325522,329761,FBgn0264086,303774
2L,34463,35463,0.0,1.0,2L,325522,329761,FBgn0264086,290060
2L,47390,48390,1.0,0.0,2L,325522,329761,FBgn0264086,277133
2L,53782,54782,1.0,0.0,2L,325522,329761,FBgn0264086,270741
2L,54450,55450,1.0,0.0,2L,325522,329761,FBgn0264086,270073
2L,55383,56383,1.0,0.0,2L,325522,329761,FBgn0264086,269140
2L,56848,57848,1.0,0.0,2L,325522,329761,FBgn0264086,267675
2L,57781,58781,1.0,0.0,2L,325522,329761,FBgn0264086,266742
2L,58897,59897,1.0,0.0,2L,325522,329761,FBgn0264086,265626
2L,61533,62533,1.0,0.0,2L,325522,329761,FBgn0264086,262990
2L,66503,67503,1.0,1.0,2L,325522,329761,FBgn0264086,258020
2L,72716,73716,1.0,1.0,2L,325522,329761,FBgn0264086,251807
2L,79744,80744,0.0,1.0,2L,325522,329761,FBgn0264086,244779
2L,80292,81292,0.0,1.0,2L,325522,329761,FBgn0264086,244231
2L,80860,81860,1.0,0.0,2L,325522,329761,FBgn0264086,243663
2L,81725,82725,1.0,0.0,2L,325522,329761,FBgn0264086,242798
2L,87058,88058,1.0,1.0,2L,325522,329761,FBgn0264086,237465
2L,93765,94765,1.0,0.0,2L,325522,329761,FBgn0264086,230758
2L,94394,95394,1.0,1.0,2L,325522,329761,FBgn0264086,230129
2L,101981,102981,1.0,1.0,2L,325522,329761,FBgn0264086,222542
2L,106075,107075,1.0,1.0,2L,325522,329761,FBgn0264086,218448
2L,108239,109239,1.0,1.0,2L,325522,329761,FBgn0264086,216284
2L,114217,115217,1.0,1.0,2L,325522,329761,FBgn0264086,210306
2L,120623,121623,1.0,1.0,2L,325522,329761,FBgn0264086,203900
2L,125558,126558,0.0,1.0,2L,325522,329761,FBgn0264086,198965
2L,128554,129554,1.0,1.0,2L,325522,329761,FBgn0264086,195969
2L,130299,131299,0.0,1.0,2L,325522,329761,FBgn0264086,194224
2L,131422,132422,1.0,1.0,2L,325522,329761,FBgn0264086,193101
2L,134174,135174,1.0,0.0,2L,325522,329761,FBgn0264086,190349
2L,137860,138860,1.0,0.0,2L,325522,329761,FBgn0264086,186663
2L,142629,143629,1.0,1.0,2L,325522,329761,FBgn0264086,181894
2L,152642,153642,0.0,1.0,2L,325522,329761,FBgn0264086,171881
2L,155031,156031,1.0,1.0,2L,325522,329761,FBgn0264086,169492
2L,155644,156644,1.0,0.0,2L,325522,329761,FBgn0264086,168879
2L,158500,159500,1.0,1.0,2L,325522,329761,FBgn0264086,166023
2L,160854,161854,1.0,1.0,2L,325522,329761,FBgn0264086,163669
2L,166228,167228,1.0,1.0,2L,325522,329761,FBgn0264086,158295
2L,168100,169100,1.0,0.0,2L,325522,329761,FBgn0264086,156423
2L,178706,179706,0.0,1.0,2L,325522,329761,FBgn0264086,145817
2L,180876,181876,0.0,1.0,2L,325522,329761,FBgn0264086,143647
2L,182501,183501,1.0,1.0,2L,325522,329761,FBgn0264086,142022
2L,203301,204301,1.0,1.0,2L,325522,329761,FBgn0264086,121222
2L,206966,207966,1.0,1.0,2L,325522,329761,FBgn0264086,117557
2L,219173,220173,0.0,1.0,2L,325522,329761,FBgn0264086,105350
2L,220142,221142,1.0,1.0,2L,325522,329761,FBgn0264086,104381
2L,221713,222713,1.0,1.0,2L,325522,329761,FBgn0264086,102810
2L,222538,223538,1.0,1.0,2L,325522,329761,FBgn0264086,101985
2L,223870,224870,1.0,1.0,2L,325522,329761,FBgn0264086,100653
2L,224533,225533,0.0,1.0,2L,325522,329761,FBgn0264086,99990
2L,231197,232197,1.0,0.0,2L,325522,329761,FBgn0264086,93326
2L,240889,241889,1.0,0.0,2L,325522,329761,FBgn0264086,83634
2L,243178,244178,0.0,1.0,2L,325522,329761,FBgn0264086,81345
2L,244079,245079,1.0,1.0,2L,325522,329761,FBgn0264086,80444
2L,246398,247398,1.0,1.0,2L,325522,329761,FBgn0264086,78125
2L,247133,248133,1.0,1.0,2L,325522,329761,FBgn0264086,77390
2L,247844,248844,1.0,0.0,2L,325522,329761,FBgn0264086,76679
2L,248790,249790,1.0,1.0,2L,325522,329761,FBgn0264086,75733
2L,249484,250484,0.0,1.0,2L,325522,329761,FBgn0264086,75039
2L,250199,251199,1.0,1.0,2L,325522,329761,FBgn0264086,74324
2L,258782,259782,0.0,1.0,2L,325522,329761,FBgn0264086,65741
2L,259336,260336,0.0,1.0,2L,325522,329761,FBgn0264086,65187
2L,267191,268191,1.0,1.0,2L,325522,329761,FBgn0264086,57332
2L,271351,272351,1.0,0.0,2L,325522,329761,FBgn0264086,53172
2L,273329,274329,1.0,1.0,2L,325522,329761,FBgn0264086,51194
2L,277080,278080,1.0,1.0,2L,325522,329761,FBgn0264086,47443
2L,282769,283769,1.0,1.0,2L,325522,329761,FBgn0264086,41754
2L,284287,285287,1.0,0.0,2L,325522,329761,FBgn0264086,40236
2L,285619,286619,1.0,1.0,2L,325522,329761,FBgn0264086,38904
2L,291707,292707,1.0,1.0,2L,325522,329761,FBgn0264086,32816
2L,294777,295777,1.0,0.0,2L,325522,329761,FBgn0264086,29746
2L,297519,298519,1.0,1.0,2L,325522,329761,FBgn0264086,27004
2L,299718,300718,1.0,0.0,2L,325522,329761,FBgn0264086,24805
2L,305591,306591,1.0,1.0,2L,325522,329761,FBgn0264086,18932
2L,309337,310337,1.0,1.0,2L,325522,329761,FBgn0264086,15186
2L,314757,315757,0.0,1.0,2L,325522,329761,FBgn0264086,9766
2L,324852,325852,1.0,0.0,2L,325522,329761,FBgn0264086,0
2L,332221,333221,0.0,1.0,2L,329910,332335,FBgn0051921,0
2L,336275,337275,0.0,1.0,2L,329910,332335,FBgn0051921,-3941
2L,347668,348668,1.0,1.0,2L,329910,332335,FBgn0051921,-15334
2L,354701,355701,1.0,1.0,2L,329910,332335,FBgn0051921,-22367
2L,355873,356873,1.0,0.0,2L,329910,332335,FBgn0051921,-23539
2L,357102,358102,1.0,1.0,2L,329910,332335,FBgn0051921,-24768
2L,377447,378447,1.0,1.0,2L,329910,332335,FBgn0051921,-45113
2L,395308,396308,0.0,1.0,2L,329910,332335,FBgn0051921,-62974
2L,403649,404649,1.0,1.0,2L,329910,332335,FBgn0051921,-71315
2L,407514,408514,1.0,0.0,2L,329910,332335,FBgn0051921,-75180
2L,412486,413486,1.0,1.0,2L,329910,332335,FBgn0051921,-80152
2L,414256,415256,1.0,1.0,2L,329910,332335,FBgn0051921,-81922
2L,419467,420467,1.0,1.0,2L,329910,332335,FBgn0051921,-87133
2L,420833,421833,1.0,1.0,2L,329910,332335,FBgn0051921,-88499
2L,424990,425990,1.0,0.0,2L,329910,332335,FBgn0051921,-92656
2L,426060,427060,1.0,0.0,2L,329910,332335,FBgn0051921,-93726
2L,426550,427550,1.0,0.0,2L,329910,332335,FBgn0051921,-94216
2L,428574,429574,1.0,0.0,2L,329910,332335,FBgn0051921,-96240
2L,430955,431955,1.0,1.0,2L,329910,332335,FBgn0051921,-98621
2L,434138,435138,1.0,1.0,2L,329910,332335,FBgn0051921,-101804
2L,435123,436123,1.0,1.0,2L,329910,332335,FBgn0051921,-102789
2L,452230,453230,1.0,1.0,2L,329910,332335,FBgn0051921,-119896
2L,453780,454780,0.0,1.0,2L,329910,332335,FBgn0051921,-121446
2L,454415,455415,0.0,1.0,2L,329910,332335,FBgn0051921,-122081
2L,455227,456227,0.0,1.0,2L,329910,332335,FBgn0051921,-122893
2L,458918,459918,1.0,0.0,2L,329910,332335,FBgn0051921,-126584
2L,465075,466075,0.0,1.0,2L,329910,332335,FBgn0051921,-132741
2L,467342,468342,0.0,1.0,2L,329910,332335,FBgn0051921,-135008
2L,468714,469714,0.0,1.0,2L,329910,332335,FBgn0051921,-136380
2L,470142,471142,1.0,1.0,2L,329910,332335,FBgn0051921,-137808
2L,471054,472054,1.0,1.0,2L,329910,332335,FBgn0051921,-138720
2L,471669,472669,1.0,1.0,2L,329910,332335,FBgn0051921,-139335
2L,472624,473624,1.0,1.0,2L,329910,332335,FBgn0051921,-140290
2L,479793,480793,1.0,1.0,2L,329910,332335,FBgn0051921,-147459
2L,490203,491203,1.0,1.0,2L,329910,332335,FBgn0051921,-157869
2L,491743,492743,1.0,1.0,2L,329910,332335,FBgn0051921,-159409
2L,493863,494863,1.0,0.0,2L,329910,332335,FBgn0051921,-161529
2L,494938,495938,1.0,0.0,2L,329910,332335,FBgn0051921,-162604
2L,502291,503291,1.0,0.0,2L,329910,332335,FBgn0051921,-169957
2L,505011,506011,1.0,0.0,2L,329910,332335,FBgn0051921,-172677
2L,510252,511252,1.0,0.0,2L,329910,332335,FBgn0051921,-177918
2L,512782,513782,1.0,0.0,2L,329910,332335,FBgn0051921,-180448
2L,514180,515180,1.0,1.0,2L,329910,332335,FBgn0051921,-181846
2L,515423,516423,0.0,1.0,2L,329910,332335,FBgn0051921,-183089
2L,516128,517128,0.0,1.0,2L,329910,332335,FBgn0051921,-183794
2L,523015,524015,1.0,1.0,2L,329910,332335,FBgn0051921,-190681
2L,524265,525265,1.0,0.0,2L,329910,332335,FBgn0051921,-191931
2L,526981,527981,0.0,1.0,2L,329910,332335,FBgn0051921,-194647
2L,540287,541287,1.0,1.0,2L,329910,332335,FBgn0051921,-207953
2L,541909,542909,1.0,1.0,2L,329910,332335,FBgn0051921,-209575
2L,544093,545093,1.0,1.0,2L,329910,332335,FBgn0051921,-211759
2L,546854,547854,0.0,1.0,2L,329910,332335,FBgn0051921,-214520
2L,547680,548680,0.0,1.0,2L,329910,332335,FBgn0051921,-215346
2L,552128,553128,1.0,1.0,2L,329910,332335,FBgn0051921,-219794
2L,552983,553983,1.0,0.0,2L,329910,332335,FBgn0051921,-220649
2L,559312,560312,1.0,1.0,2L,329910,332335,FBgn0051921,-226978
2L,563703,564703,1.0,1.0,2L,329910,332335,FBgn0051921,-231369
2L,567829,568829,1.0,1.0,2L,329910,332335,FBgn0051921,-235495
2L,573841,574841,1.0,1.0,2L,329910,332335,FBgn0051921,-241507
2L,576417,577417,1.0,0.0,2L,329910,332335,FBgn0051921,-244083
2L,577053,578053,0.0,1.0,2L,329910,332335,FBgn0051921,-244719
2L,584948,585948,0.0,1.0,2L,329910,332335,FBgn0051921,-252614
2L,591513,592513,1.0,0.0,2L,329910,332335,FBgn0051921,-259179
2L,594527,595527,0.0,1.0,2L,329910,332335,FBgn0051921,-262193
2L,602233,603233,1.0,1.0,2L,329910,332335,FBgn0051921,-269899
2L,619293,620293,1.0,0.0,2L,329910,332335,FBgn0051921,-286959
2L,620915,621915,1.0,0.0,2L,329910,332335,FBgn0051921,-288581
2L,622641,623641,1.0,0.0,2L,329910,332335,FBgn0051921,-290307
2L,624050,625050,1.0,0.0,2L,329910,332335,FBgn0051921,-291716
2L,625043,626043,1.0,0.0,2L,329910,332335,FBgn0051921,-292709
2L,645337,646337,1.0,0.0,2L,329910,332335,FBgn0051921,-313003
2L,664096,665096,1.0,0.0,2L,329910,332335,FBgn0051921,-331762
2L,665272,666272,1.0,0.0,2L,329910,332335,FBgn0051921,-332938
2L,675726,676726,1.0,0.0,2L,329910,332335,FBgn0051921,-343392
2L,681733,682733,1.0,0.0,2L,329910,332335,FBgn0051921,-349399
2L,701560,702560,0.0,1.0,2L,329910,332335,FBgn0051921,-369226
2L,714738,715738,0.0,1.0,2L,329910,332335,FBgn0051921,-382404
2L,731314,732314,1.0,0.0,2L,329910,332335,FBgn0051921,-398980
2L,734884,735884,1.0,1.0,2L,329910,332335,FBgn0051921,-402550
2L,736158,737158,1.0,0.0,2L,329910,332335,FBgn0051921,-403824
2L,739834,740834,1.0,1.0,2L,329910,332335,FBgn0051921,-407500
2L,740997,741997,0.0,1.0,2L,329910,332335,FBgn0051921,-408663
2L,743150,744150,0.0,1.0,2L,329910,332335,FBgn0051921,-410816
2L,743980,744980,0.0,1.0,2L,329910,332335,FBgn0051921,-411646
2L,745447,746447,1.0,1.0,2L,329910,332335,FBgn0051921,-413113
2L,750372,751372,0.0,1.0,2L,329910,332335,FBgn0051921,-418038
2L,751633,752633,0.0,1.0,2L,329910,332335,FBgn0051921,-419299
2L,768683,769683,0.0,1.0,2L,1198465,1199266,FBgn0031323,428783
2L,777396,778396,1.0,0.0,2L,1198465,1199266,FBgn0031323,420070
2L,778656,779656,1.0,0.0,2L,1198465,1199266,FBgn0031323,418810
2L,789672,790672,0.0,1.0,2L,1198465,1199266,FBgn0031323,407794
